epoch,train_loss,val_loss,train_recon_loss,val_recon_loss,train_kl_loss,val_kl_loss,train_age_loss,val_age_loss,train_site_loss,val_site_loss,train_age_mae,val_age_mae,train_site_acc,val_site_acc,train_age_r2,val_age_r2,current_beta,current_grl_alpha,num_tracts
1,57.644105437346376,73.87534187921845,0.025385286863735656,0.0857807150623875,4.6759608816196865,11.69754437508923,3.161656123293238,3.592466119523165,2.038768489519056,3.9804958748312433,3.161656123293238,3.592466119523165,42.31574539363484,40.23132664437012,-0.32059409717718756,-0.5669165849685669,7.686158073360571e-06,0.0,48
2,55.629977920879405,78.15069140505499,0.12349047796689894,0.14338823309418028,18.514529081815613,25.79290157585709,3.0102506019944655,4.116674520282974,2.0705117554861965,3.251389850475052,3.0102506019944655,4.116674520282974,41.63176996091569,36.95652173913044,-0.1915769577026367,-3.1397650241851807,9.154408582006738e-06,0.025000000000000005,48
3,55.650222363783485,73.89706709844744,0.13632479162204095,0.1307028423570553,28.591561738125268,32.877282939458816,2.9705773586545625,3.97203017269555,2.190984879148732,2.8371102978436977,2.9705773586545625,3.97203017269555,40.7750558347292,39.499721293199556,-0.16127877930800116,-2.0001113476852574,1.0941850065037412e-05,0.05000000000000001,48
4,56.20893019953632,61.36238367900402,0.1255445645205718,0.1146720290029306,38.57664200566327,44.62125008137961,2.911146907825366,3.0570398333379654,2.483135181002315,3.0783058361564595,2.911146907825366,3.0570398333379654,40.50984087102177,41.42279821627648,-0.12493222951889034,-0.16325696557760236,1.311630654928996e-05,0.075,48
5,58.67146175896769,88.4402492766662,0.12029029373827528,0.1185854634803195,50.04255132452652,56.68187272298246,2.902659976136279,4.374754771590233,3.0020966510335736,4.539889948423889,2.902659976136279,4.374754771590233,40.265563930764934,41.62486064659978,-0.11724425479769703,-5.013437654823065,1.5759257661579782e-05,0.10000000000000002,48
6,62.24758109655013,76.28150481470719,0.12622533250585002,0.13641919157231702,62.55364063224068,69.18629500512428,2.8905700265213077,3.1960518281063774,3.75232379966312,5.640599208291093,2.8905700265213077,3.1960518281063774,40.218453378001115,42.990523968784835,-0.10675678402185436,-0.3355535057683785,1.896822375212947e-05,0.125,48
7,66.04616061500302,82.04279971441696,0.1468457631218925,0.1568335833112691,73.18943750507202,76.81607489422412,2.879079933808144,3.6954715740820236,4.542288585328344,5.2904273303206955,2.879079933808144,3.6954715740820236,39.698492462311556,40.558807134894096,-0.1028746018807093,-1.3554634066919486,2.285938966519435e-05,0.15,48
8,69.23262345691023,84.3581448154173,0.1555876792537773,0.1512525791635414,76.96147101596705,76.64943428598386,2.8640167158302945,3.334627304404741,5.222932685122918,6.837073798861392,2.8640167158302945,3.334627304404741,39.3390563930765,41.92447045707916,-0.08850199108322458,-0.5658812907834848,2.7570396583288994e-05,0.17499999999999996,48
9,72.27287718279278,90.680605621508,0.16083411068402756,0.15224926161260763,79.99696716443245,77.65707584132451,2.8718835795511417,4.036522800972895,5.80622568100874,5.995586314569814,2.8718835795511417,4.036522800972895,39.093034617532105,41.11622073578596,-0.0960916106899579,-2.8121187202632427,3.326316923375208e-05,0.20000000000000004,48
10,74.22915855058407,92.25576623945331,0.15235172991530213,0.151168090904856,79.01353856515179,81.66855495204628,2.869778160436369,3.7690177366818607,6.205392748009287,7.113210852578731,2.869778160436369,3.7690177366818607,39.00230318257956,40.96989966555184,-0.09583190704385437,-1.9546720671157043,4.012655707396759e-05,0.2249999999999999,48
11,75.7832371324617,95.24083115956189,0.15267574933201414,0.15822304829142556,83.27075412235467,85.16889505614937,2.846811248055056,3.905004171689883,6.584872918483234,7.300685007461536,2.846811248055056,3.905004171689883,39.13316582914573,41.088350055741365,-0.08117329453428583,-2.4910389023522534,4.837844730438922e-05,0.25,48
12,77.3277231084109,90.55842966592166,0.15898130010015,0.14722659981958905,85.03262373974775,80.58058224008767,2.852450451434557,3.691244737692634,6.875406108376435,7.007567409554718,2.852450451434557,3.691244737692634,39.11746231155779,40.88628762541806,-0.08056168258190152,-1.9979292899370193,5.826685172296986e-05,0.275,48
13,78.47146107709854,87.99387929883424,0.1487744517636175,0.15530846128726772,82.11907943435916,83.97193961039834,2.848414028085257,3.330330927834463,7.118144405139418,7.575544594206672,2.848414028085257,3.330330927834463,38.99357900614182,40.57274247491639,-0.07352183262507118,-0.6316322945058346,7.006928192300347e-05,0.3,48
14,79.48126269345308,99.45089870099905,0.1571252140871311,0.15015734697510383,86.19097074744822,85.28856521014252,2.8474036453740013,3.6891620460328713,7.321166990648297,8.791227812169653,2.8474036453740013,3.6891620460328713,38.82258514796203,40.489130434782616,-0.07720698540409403,-1.6039412630101044,8.408952379742846e-05,0.325,48
15,80.2427493503545,86.09487360642773,0.14657094143363328,0.14454888697747686,85.23218680513031,83.08740377346409,2.8344521419603286,3.3317325615896163,7.514163487196168,7.193194703347441,2.8344521419603286,3.3317325615896163,38.773729759910665,39.47881828316611,-0.069848895072937,-0.7805298467477163,0.0001006507386305,0.3499999999999999,48
16,81.16666427715606,95.73814799235417,0.15544639151451106,0.15327751607016105,86.94123461072103,88.63382800034721,2.826648086658874,3.616706290057006,7.7202112720889255,8.26472647748929,2.826648086658874,3.616706290057006,38.571328866555,39.86900780379042,-0.06094418962796527,-1.7092370962103207,0.00012008371909999999,0.375,48
17,82.03145616404642,91.84724187000405,0.14938342071153604,0.14027444506387196,90.52871322565277,91.4307300106206,2.8295939905992236,3.224691921386166,7.885048733887927,8.66470793982679,2.8295939905992236,3.224691921386166,38.347989949748744,40.92809364548496,-0.06424582004547116,-0.5676069632172585,0.0001427092138355,0.4000000000000001,48
