epoch,epoch_percentage,train_loss,val_loss,train_age_mae,val_age_mae,num_tracts,train_site_acc,val_site_acc,current_beta,current_grl_alpha
1,0%,57.644105437346376,73.87534187921845,3.161656123293238,3.592466119523165,48,42.31574539363484,40.23132664437012,7.686158073360571e-06,0.0
200,25%,97.06599272528818,95.42649249568034,2.6884153428181197,2.7878452898101798,48,27.5212869905081,29.20150501672241,0.001,2.5
400,50%,96.72264140122167,95.4596570104261,2.6775143164902144,2.7877913056358845,48,27.472431602456727,29.173634336677818,0.001,2.5
600,75%,98.8865765063607,97.4228096526602,2.6142743120000125,2.7761907523026568,48,24.98255164712451,27.285395763656634,0.001,2.5
800,100%,97.13687799337656,96.37945292599358,2.5937430131941253,2.7894153142619955,48,24.93718592964824,27.292363433667784,0.001,2.5
