epoch,train_loss,val_loss,train_acc,val_acc,num_tracts
1,1.0015794968181553,1.2546367503063072,54.78084868788386,41.11622073578595,48
2,0.7734657131147943,1.2109352265512665,67.95609994416527,40.788740245261984,48
3,0.7126071577957228,1.2146369092698015,70.70945002791736,42.572463768115945,48
4,0.6793593973954094,1.1831994298637876,72.29899497487438,45.645206243032334,48
5,0.6560439139423607,1.1243042463089943,73.14349525404802,49.14994425863991,48
6,0.637167221110986,1.0434346765377367,73.7751256281407,51.76282051282052,48
7,0.6244772806636768,1.036410255687791,74.34743160245672,55.866778149386846,48
8,0.6098242328808519,1.3961742179875272,75.24776661083193,55.39297658862876,48
9,0.6018638293950967,2.678391947207501,75.57579564489113,56.12458193979933,48
10,0.5930798359876701,4.610045420950738,75.94919039642657,56.16638795986622,48
11,0.5840166731868074,7.349849600289868,76.20044667783361,56.43115942028985,48
12,0.5739136614557512,8.258312380139653,76.65410385259632,56.89102564102564,48
13,0.5638533624961332,9.178944176134582,76.98038805136795,56.08277591973245,48
14,0.559632813005741,9.141326545868505,77.11474036850922,56.633221850613154,48
15,0.5526166135499317,8.701719319481098,77.33458961474037,56.6680602006689,48
16,0.5444536801965284,9.17914894739334,77.6887911781128,56.995540691192865,48
17,0.5389421143382372,7.6351624453002165,77.892936906756,57.580824972129314,48
18,0.5347585718057496,6.412306534380775,78.32565605806812,57.13489409141582,48
19,0.5247256788744948,5.352066304297949,78.71475432719151,58.026755852842804,48
20,0.5210780751712554,5.874864310034475,78.80025125628141,58.99526198439242,48
21,0.5139448727043746,6.941997167593079,79.08640424343942,57.69927536231884,48
22,0.514119218633989,6.523227245221901,78.86306532663316,57.30908584169453,48
23,0.5076696719700758,6.469166483466359,79.31672250139587,57.92224080267559,48
24,0.5046072660636994,4.734955449067388,79.39175041876047,59.03010033444816,48
25,0.4941493375752057,5.2932788574571825,79.93788386376326,57.6783723522854,48
26,0.492690631478093,5.527455890434925,79.93264935790062,58.563266443701224,48
27,0.48960329106936595,5.2636007052371765,80.02338079285316,58.36120401337792,48
28,0.4836418625814419,5.302686265804737,80.20833333333333,58.00585284280936,48
29,0.47803479284963285,4.594756503877051,80.6497766610832,59.69899665551839,48
30,0.47391700479792176,3.634984381838495,80.67071468453378,58.507525083612045,48
31,0.473868586602431,3.409396764009344,80.83298436627582,58.82107023411371,48
32,0.4668563356828974,4.1130191734083485,81.05283361250697,59.204292084726866,48
33,0.4651134993063544,4.217999874043134,81.0929648241206,59.33667781493869,48
34,0.46000954322048915,4.143246570868893,81.22033780011166,57.63656633221851,48
35,0.45815724997075574,3.562818863645088,81.41575935231714,58.646878483835,48
36,0.45705403315578336,3.7378096038157924,81.40878001116694,60.39576365663322,48
37,0.45392124948628965,3.4388959684856695,81.54138749302065,59.796544035674465,48
38,0.4476488199389718,3.1581205684450793,81.97759631490787,59.23216276477146,48
39,0.4461916726402884,2.8459299767894493,82.0177275265215,59.740802675585286,48
40,0.4399214011488564,2.337439987718137,82.0822864321608,61.148272017837236,48
41,0.44165528636157414,2.127837246197713,82.24106644332775,61.21098104793757,48
42,0.43807034941555517,2.7969486029058643,82.36669458403126,59.53177257525084,48
43,0.43538424174500484,2.6134930835193733,82.4748743718593,60.29124860646599,48
44,0.43364171353431386,2.5667878067787475,82.49057788944724,60.31215161649944,48
45,0.4336302037221353,2.290065741736479,82.41206030150754,60.4933110367893,48
46,0.4321268969535253,1.8458207169487457,82.52024008933556,62.74386845039019,48
47,0.42522832333972954,2.0275899404576805,82.7034477945282,60.62569676700111,48
48,0.4277475211261821,2.1035098009903725,82.64412339475153,60.64659977703456,48
49,0.422617161543265,1.9512127432941044,82.839544946957,62.646321070234116,48
50,0.4217433663686225,1.8565246202903014,82.94423506420993,61.82413600891862,48
51,0.418861912503123,1.5844359989968464,83.08382188721384,63.48940914158305,48
52,0.41684517397902515,1.1302916756410613,83.09603573422669,65.95596432552954,48
53,0.41774389548289587,1.3520772123736318,83.23736739251815,64.61817168338908,48
54,0.41445952112823387,1.4004327739789302,83.41708542713567,62.9180602006689,48
55,0.4148249914521265,1.3252907445645967,83.38916806253489,63.496376811594196,48
56,0.4139341777518167,1.2461301768406263,83.24260189838078,63.830824972129314,48
57,0.4131753963586265,1.1203500051788546,83.38218872138471,64.51365663322186,48
58,0.41228452546309863,1.1372667498899045,83.39789223897264,64.04682274247492,48
59,0.40944876093318605,1.181448219442655,83.42929927414852,63.35702341137124,48
60,0.40941025323982255,1.2350272153521844,83.5462032384143,63.252508361204015,48
61,0.40903456358780893,1.0873418487878381,83.47640982691233,65.14074693422519,48
62,0.4052076877377166,1.0488430128807622,83.7573283082077,64.86900780379041,48
63,0.40790246875378416,1.0138343252841728,83.51305136795087,65.88628762541806,48
64,0.40688960955830294,1.0617928195001356,83.67183137911782,65.73299888517279,48
65,0.4058944903026032,1.0053377015227525,83.5462032384143,67.51672240802675,48
66,0.404386784011391,1.0699676735640204,83.66834170854271,66.14409141583054,48
67,0.40482335214127146,0.96243815796103,83.8428252372976,67.36343366778149,48
68,0.40120004954145166,0.9841216694679913,83.87597710776103,67.50278706800445,48
69,0.40192895714884663,1.0909274572583378,83.75558347292015,67.41220735785953,48
70,0.4004667683736962,1.1188378591617878,83.84457007258514,67.87207357859532,48
