epoch,epoch_percentage,train_acc,val_acc,train_loss,val_loss,num_tracts
1,0%,54.78084868788386,41.11622073578595,1.0015794968181553,1.2546367503063072,48
100,25%,84.25635120044667,73.39046822742475,0.3903546387055137,0.6985396004480245,48
200,50%,84.5110971524288,75.89186176142698,0.3864192125914771,0.6409189216273451,48
300,75%,84.35057230597432,75.8221850613155,0.39104327565009145,0.6417692267515571,48
400,100%,84.3174204355109,75.93366778149387,0.3900918985983759,0.6408611925115337,48
