epoch,train_loss,val_loss,train_recon_loss,val_recon_loss,train_kl_loss,val_kl_loss,beta,num_tracts
1,0.18737922322605405,0.07438270996093764,0.1873537127527398,0.07421562646458818,3.3190002940108427,21.738234788079723,7.686158073360571e-06,48
2,0.039282392700827236,0.0175789662369966,0.03901372731997407,0.017283254302719698,29.348188704922837,32.302674676147326,9.154408582006738e-06,48
3,0.013340392442497781,0.008418929086036173,0.012961592718796983,0.008017187220929638,34.61934631169341,36.716080686586224,1.0941850065037412e-05,48
4,0.00711061904381806,0.005325257556916108,0.0065920373746481626,0.0047533574443788685,39.53716977523865,43.60221832824524,1.311630654928996e-05,48
5,0.0046260634431478835,0.0038660460360860475,0.003883026256605346,0.0030574203914046708,47.14924724630509,51.31114693761802,1.5759257661579782e-05,48
6,0.0036630173693939813,0.0033069977589578066,0.0026341249518301584,0.002226477514193154,54.24295168066743,56.96475812105032,1.896822375212947e-05,48
7,0.003319331537372292,0.0031394933503219435,0.0019858622386136394,0.0017984716433240063,58.33355006031454,58.663935595332184,2.285938966519435e-05,48
8,0.0033220303513391853,0.003234622594494481,0.001715643339620823,0.0016748050185220354,58.26492152415062,56.575811544356405,2.7570396583288994e-05,48
9,0.0034689670083644687,0.003407862353727679,0.0016489101589641792,0.001691611710961294,54.71688246137932,51.59612767167447,3.326316923375208e-05,48
10,0.00366159130312525,0.0035783574154425544,0.0016849561448736416,0.0017513667045897417,49.260024266634694,45.53071207788211,4.012655707396759e-05,48
11,0.0038705619948055142,0.003766342222286279,0.001778530841598377,0.0018419052316852602,43.24304150271223,39.77880976821733,4.837844730438922e-05,48
12,0.004098135356472017,0.0040456123223071416,0.0019150000436551082,0.002052776206684496,37.46787910459596,34.20188478341403,5.826685172296986e-05,48
13,0.004323118194884367,0.0042236688436690685,0.0020667796097402435,0.0021584488215109043,32.201536473126005,29.47397094805504,7.006928192300347e-05,48
14,0.004541799987570609,0.0044717471640656125,0.002213564518912131,0.0023514969236826957,27.68758098099283,25.21420249269825,8.408952379742846e-05,48
15,0.004783478904987635,0.004735890240324885,0.0023848595807218187,0.0025240910591636623,23.83111526029593,21.974992128809628,0.0001006507386305,48
16,0.005035331884734717,0.004895467848281058,0.002552325559556375,0.002608505378824958,20.67729335388513,19.04473357885212,0.00012008371909999999,48
17,0.005243639644594418,0.005163104787432912,0.0026842838845767686,0.002836764098247737,17.93406020807719,16.30126391305124,0.0001427092138355,48
18,0.00551953087295261,0.005451388817477373,0.0028852085407421626,0.0030161040586722024,15.60491393951856,14.425876674274503,0.0001688136332512,48
19,0.005750326642042131,0.005662638071946406,0.0029833066073996603,0.0030807263451656775,13.93134552021347,12.99936538619283,0.0001986182953299,48
20,0.005991801293197284,0.005890770075807429,0.0030928272109085604,0.0031935472013367295,12.482463976392227,11.613759489897161,0.0002322437412844,48
21,0.006242033009526263,0.006133447637025964,0.003262144037064702,0.0033739213313421813,11.050029721935521,10.232880512983908,0.0002696724799486,48
22,0.006490670873939643,0.0063507786948170586,0.0034869806206633894,0.0035738162415766207,9.667011560484797,8.937315664405714,0.0003107154933535,48
23,0.006647681171858467,0.006563235926527865,0.0036173402723973917,0.0037713173055513582,8.536427847995558,7.864795502336226,0.0003549893500804,48
24,0.006825581973652091,0.006607818345385762,0.0037919043294026293,0.0038043915492146957,7.5481322366702805,6.97524215921229,0.0004019110275476,48
