epoch,train_mae,val_mae,train_r2,val_r2,num_tracts
1,5.783393618798935,8.082834496047584,-3.059823825955391,-4.878473470608394,48
2,3.4369659742069003,5.699150649434082,-0.44181077927351,-2.4452548821767173,48
3,2.8120817579433015,3.85406995417681,-0.08346687008937197,-0.915773739417394,48
4,2.680255584997015,3.540989938404914,0.044887833297252634,-0.6400656675299009,48
5,2.618652486588155,3.374922819792759,0.08561604718367255,-0.5023029011984667,48
6,2.592820858465334,3.874231519208704,0.0993232429027557,-0.9264084560175737,48
7,2.543705457394047,4.482702099650666,0.1222532565395037,-1.471051146586736,48
8,2.5425429382948557,4.050462114256096,0.13001415133476255,-1.0815535485744476,48
9,2.5257138865186075,3.4195444939228206,0.1407703335086504,-0.46361038958032924,48
10,2.492951148489645,4.806367146056831,0.15614077200492218,-2.5936237014830112,48
11,2.5003229399289184,6.7403150839334485,0.15829114367564515,-6.787437031666438,48
12,2.479710299731765,8.182267276048993,0.16819023589293158,-10.425780127445856,48
13,2.468550532428097,10.75411105588693,0.17372909064094222,-21.192114401608706,48
14,2.464857858055001,14.392176538207458,0.17377528051535285,-42.449096304674946,48
15,2.4539027436028507,11.949423779130248,0.17708408087491986,-23.19755054389437,48
16,2.444995804152663,10.59296798989293,0.19055664290984467,-17.795679459969204,48
17,2.4176479779154745,12.296814103074032,0.1995679711302121,-34.670046941687666,48
18,2.4194930141603463,10.908043936833558,0.20070432374874747,-23.19590877617399,48
19,2.42046668070162,12.032054275996908,0.20254126812020934,-30.705858794351418,48
20,2.4053940989954854,10.827103704255627,0.2080266637106736,-26.92023237173756,48
21,2.3846789504864705,10.713303040625858,0.2166345392664273,-25.414766862988472,48
22,2.379175233739438,11.771521339988297,0.22124720364809033,-36.89555363729596,48
23,2.366102036440226,8.477405367221854,0.22800945366422332,-11.253877274692059,48
24,2.371311060614189,7.505884560038946,0.21840884784857428,-8.512955052157244,48
25,2.361067892730835,6.9761525991569,0.23449763034780816,-8.537886949876944,48
26,2.362084807504628,6.754104071312326,0.2293358966708183,-6.790504566083352,48
27,2.345769262668276,6.413809250778577,0.24345378205180165,-6.228013524164756,48
28,2.3351817735741753,6.230409370600313,0.24305648977557814,-5.422366154690583,48
29,2.328236427122757,5.993096785601167,0.2514336121579011,-5.787563352535169,48
30,2.3214529077270254,5.525451886223643,0.24708565821250275,-3.840656698991855,48
31,2.316089732812677,5.330858633918906,0.25629794845978415,-3.420844230800867,48
32,2.3118155209554567,5.141260427791405,0.2610063552856445,-4.251105445126693,48
33,2.3149692340437293,4.890296390373571,0.25195478151241935,-3.152184241761764,48
34,2.299585478477043,4.5216768070756395,0.25961637124419207,-2.192683160305023,48
35,2.3022222730083084,3.8903001510063677,0.26221904779473937,-0.9338956760863463,48
36,2.295880435158393,4.31400752135676,0.26401354496677715,-1.9496184488137562,48
37,2.28923699992752,4.678199578520978,0.26464618121584255,-2.6661011713246503,48
38,2.2888516419380487,4.361728954773683,0.2690580561757087,-1.7499577266474564,48
39,2.284263991518336,4.017152213698114,0.26736641178528464,-1.2048088995118935,48
40,2.266760965708346,3.814046716635243,0.2806246628363927,-1.0964611967404683,48
41,2.2640652291389367,4.164017967331569,0.27699878811836237,-1.3667079942921798,48
42,2.26249649337405,3.9926440571761845,0.2771797987322012,-1.0894554257392883,48
43,2.2558905626519774,4.145720278970906,0.2810924872756004,-1.5218582252661388,48
44,2.2610675220230583,4.182627621219974,0.28305577362577117,-1.8949844564000766,48
45,2.244281710142666,3.8632350540081397,0.2882409828404585,-1.1717981944481533,48
46,2.2472196186573927,3.669623379764815,0.2873577152689298,-0.82162003343304,48
47,2.2550268702454437,3.504332257918557,0.2826998680830001,-0.6855462044477463,48
48,2.2440362297402023,3.8169922745862404,0.2926026346782843,-1.3983545651038487,48
49,2.233786506776967,3.4755476113230226,0.29602804780006403,-0.5489338152110577,48
50,2.2288299951554675,3.388401714987314,0.30092264836033183,-0.46429341038068134,48
51,2.2275420815368263,3.456506382952233,0.2955158576369285,-0.5163562732438246,48
52,2.230318517129325,3.5994305332402057,0.29627759133776027,-0.9040054095288118,48
53,2.2180158224420663,3.4164188009257965,0.30562086279193557,-0.5793014417092005,48
54,2.2226143383583765,3.2027265977367776,0.30363391960660613,-0.30434658750891685,48
55,2.227127889721404,3.1631867652437093,0.29862511530518526,-0.26697276656826335,48
56,2.220259397389967,3.3168516708589846,0.301064271479845,-0.3974004363020261,48
57,2.2228022265382683,3.2157520180528643,0.30081405987342197,-0.3317485886315505,48
58,2.2126777458838216,3.166360317813513,0.302879070242246,-0.29223007957140607,48
59,2.209254538040298,3.460929944770724,0.30506839479009307,-0.5735642078022162,48
60,2.21074728274199,3.298063822738502,0.30490499734878534,-0.3609478486080964,48
61,2.215102048055178,3.302508528391055,0.3054776526987552,-0.3888511011997859,48
62,2.1977927822189116,3.3753757967697737,0.3113746158778667,-0.4487625372906526,48
63,2.200351604926626,3.1674968539970774,0.31319046889742214,-0.2860538102686405,48
