epoch,train_loss,val_loss,train_acc,val_acc,current_lr
1,1.2517830862272126,1.3626553920599132,43.551088777219434,43.812709030100336,0.0001
2,1.0767982543213683,1.282832996103676,53.18257956448911,43.812709030100336,0.0001
3,0.961310381665701,1.200368445055142,64.07035175879398,65.88628762541806,0.0001
4,0.8463021484851039,1.0794717332591182,68.25795644891123,74.91638795986621,0.0001
5,0.7271087361340547,0.8842093033535424,73.11557788944724,81.93979933110369,0.0001
6,0.6491020645328502,0.659613146032378,78.14070351758794,86.62207357859532,0.0001
7,0.5675364826592169,0.5481373759416434,82.32830820770519,84.61538461538461,0.0001
8,0.5029202937281112,0.5214542302997615,85.25963149078727,82.6086956521739,0.0001
9,0.45979330377962124,0.4238289370385301,85.92964824120602,86.95652173913044,0.0001
10,0.4072616568062972,0.4056005124064991,88.02345058626466,86.62207357859532,0.0001
11,0.38234225239985353,0.33977997248188707,87.68844221105527,89.29765886287625,0.0001
12,0.3683998789919082,0.29449942937264073,88.19095477386935,91.30434782608695,0.0001
13,0.33983971919845696,0.3137050942334044,89.11222780569514,89.96655518394648,0.0001
14,0.31366024160105577,0.31696334795210274,89.11222780569514,89.63210702341136,0.0001
15,0.30482718807768383,0.26206482792379066,89.19597989949749,91.9732441471572,0.0001
16,0.2880031458496848,0.26210436832944684,90.45226130653266,91.30434782608695,0.0001
17,0.27367742107541515,0.2523840871144298,90.36850921273032,91.30434782608695,0.0001
18,0.2585331025085657,0.23007401562355034,90.95477386934674,92.97658862876254,0.0001
19,0.23807027883565607,0.21941936853338642,91.70854271356784,94.64882943143813,0.0001
20,0.23802097383855375,0.21356290837992792,91.87604690117253,94.98327759197325,0.0001
21,0.2293713190148224,0.22888635026671017,91.95979899497488,94.31438127090301,0.0001
22,0.22200231710870064,0.20919382166005296,92.71356783919597,94.31438127090301,0.0001
23,0.194998340590715,0.19307955551306938,93.2998324958124,95.65217391304348,0.0001
24,0.19538536670319798,0.19005117104404348,93.71859296482413,95.65217391304348,0.0001
25,0.18968249073679522,0.2070914061870862,93.63484087102178,93.64548494983278,0.0001
26,0.17809121827384336,0.20492344568904028,94.30485762144055,93.64548494983278,0.0001
27,0.1873071146520538,0.1724417030836228,93.96984924623115,95.65217391304348,0.0001
28,0.17318667004655552,0.16721880720012564,95.05862646566165,96.32107023411372,0.0001
29,0.16499241342895993,0.17034305640835826,95.05862646566165,95.31772575250837,0.0001
30,0.15167111676292402,0.1716617987706111,95.47738693467338,95.9866220735786,0.0001
31,0.15863776482778977,0.18887967991340518,95.14237855946399,93.64548494983278,0.0001
32,0.1509322950638319,0.16402238771867592,95.56113902847572,95.31772575250837,0.0001
33,0.1343100797665778,0.15636562751637254,95.97989949748744,95.9866220735786,0.0001
34,0.13978964494700408,0.16177886109612258,95.81239530988275,95.31772575250837,0.0001
35,0.1359714526976373,0.17318608827988638,95.64489112227805,94.98327759197325,0.0001
