epoch,train_loss,val_loss,train_recon_loss,val_recon_loss,train_kl_loss,val_kl_loss,train_age_loss,val_age_loss,train_site_loss,val_site_loss,train_age_mae,val_age_mae,train_site_acc,val_site_acc,train_age_r2,val_age_r2,current_beta,current_grl_alpha,current_lr
1,53.90941844154243,67.53938436348702,0.007726299943062329,0.022777157084997682,78.37790400059379,101.60590191589151,2.8869231737638437,3.293215303516707,2.119568770055595,3.6236752785966546,2.8869231737638437,3.293215303516707,56.951423785594635,40.13377926421405,-0.09391200542449951,-0.3926413059234619,0.0,0.0,0.0001
2,52.94476428902529,69.77450673795464,0.03842483864008282,0.05872232853170223,116.47601963726919,132.02409919049828,2.838820303704471,3.194192135214407,2.064807004864691,4.360580403669223,2.838820303704471,3.194192135214407,59.2964824120603,40.468227424749166,-0.048087358474731445,-0.10761630535125732,0.0,0.025,0.0001
3,54.20753939706876,67.53032824666205,0.07135369240538758,0.08518455142659886,141.94743843014714,151.70802143824142,2.9011706159741832,3.0888131510055183,2.1237252892760976,4.222589436980793,2.9011706159741832,3.0888131510055183,59.882747068676714,43.47826086956522,-0.11730802059173584,-0.18223726749420166,0.0,0.05,0.0001
4,54.22135548296087,60.54767282033046,0.08346719951236269,0.07793843516936669,152.79761261037447,149.90109273342784,2.8713060495641765,2.97560495038495,2.2136593288313007,3.1671319645782776,2.8713060495641765,2.97560495038495,60.88777219430486,55.852842809364546,-0.08756029605865479,-0.0028519630432128906,0.0,0.075,0.0001
5,54.44947135069063,58.357913945430894,0.07089549709903935,0.0615334666418192,147.26741163295318,141.21850575730952,2.861209059879808,2.964333405861488,2.292087945706481,2.766275763910351,2.861209059879808,2.964333405861488,60.55276381909548,60.535117056856194,-0.04516398906707764,-0.0885317325592041,0.0,0.1,0.0001
6,55.13091652517143,61.04695143428535,0.05453219563642538,0.049056939008243906,137.66608215536505,134.4122174623419,2.823044653913284,3.0739482820632067,2.5461429643071876,2.9777341459108437,2.823044653913284,3.0739482820632067,60.46901172529313,61.20401337792642,-0.08028340339660645,-0.22080636024475098,0.0,0.125,0.0001
7,56.04528337028158,64.10155553403108,0.051919413777302255,0.05182169317999811,137.92585736503153,138.73058102202654,2.8356997663251917,2.8993344251128743,2.6915737592195548,4.111943350986493,2.8356997663251917,2.8993344251128743,59.63149078726968,52.508361204013376,-0.060198426246643066,0.00037151575088500977,0.0,0.15,0.0001
8,56.250993310107255,64.37392960105053,0.048953644769075925,0.04642810089432675,138.0431023730305,136.3672108729946,2.809351774516018,2.9070101055413184,2.812352730001836,4.144470127928616,2.809351774516018,2.9070101055413184,59.63149078726968,55.18394648829431,-0.03543746471405029,-0.028451919555664062,0.0,0.17500000000000002,0.0001
9,58.17310139002712,62.14526954064002,0.04277187999543832,0.03685255179237761,134.6715644312464,129.7025519023372,2.8485676639243787,2.90313288918307,3.0803630431892484,3.712284687769453,2.8485676639243787,2.90313288918307,57.87269681742043,58.19397993311036,-0.0788424015045166,-0.010339975357055664,0.0,0.2,0.0001
10,58.27037174857441,63.88371470779878,0.03858424187130864,0.03530287674089339,132.50066854965746,130.1382888232585,2.8227613175933683,2.928489291149637,3.1780733531044554,3.984214171916745,2.8227613175933683,2.928489291149637,58.96147403685092,56.187290969899664,-0.045452237129211426,-0.03633248805999756,0.0,0.22499999999999998,0.0001
