,Site 0,Site 1,Site 2,Site 3
Site 0,0.8299595141700404,0.0,0.1680161943319838,0.0020242914979757085
Site 1,0.2978723404255319,0.0,0.7021276595744681,0.0
Site 2,0.8105906313645621,0.0,0.1894093686354379,0.0
Site 3,0.345679012345679,0.0,0.654320987654321,0.0
