,Site 0,Site 1,Site 2,Site 3
Site 0,0.6862348178137652,0.0,0.3016194331983806,0.012145748987854251
Site 1,0.1276595744680851,0.0,0.7659574468085106,0.10638297872340426
Site 2,0.4073319755600815,0.0,0.5539714867617108,0.038696537678207736
Site 3,0.08024691358024691,0.0,0.7037037037037037,0.21604938271604937
