,Site 0,Site 1,Site 2,Site 3
Site 0,0.7105263157894737,0.0,0.2793522267206478,0.010121457489878543
Site 1,0.06382978723404255,0.0,0.5531914893617021,0.3829787234042553
Site 2,0.2525458248472505,0.0,0.7006109979633401,0.04684317718940937
Site 3,0.024691358024691357,0.0,0.46296296296296297,0.5123456790123457
