,Site 0,Site 1,Site 2,Site 3
Site 0,0.9979757085020243,0.0,0.0020242914979757085,0.0
Site 1,0.9574468085106383,0.0,0.0425531914893617,0.0
Site 2,0.9898167006109979,0.0,0.010183299389002037,0.0
Site 3,0.9938271604938271,0.0,0.006172839506172839,0.0
