,Site 0,Site 1,Site 2,Site 3
Site 0,0.708502024291498,0.0,0.291497975708502,0.0
Site 1,0.10638297872340426,0.0,0.8723404255319149,0.02127659574468085
Site 2,0.5519348268839104,0.0,0.4419551934826884,0.006109979633401222
Site 3,0.11728395061728394,0.0,0.8703703703703703,0.012345679012345678
