,Site 0,Site 1,Site 2,Site 3
Site 0,0.5242914979757085,0.010121457489878543,0.43724696356275305,0.02834008097165992
Site 1,0.40425531914893614,0.02127659574468085,0.5319148936170213,0.0425531914893617
Site 2,0.5091649694501018,0.004073319755600814,0.4378818737270876,0.048879837067209775
Site 3,0.4691358024691358,0.012345679012345678,0.48148148148148145,0.037037037037037035
