,Site 0,Site 1,Site 2,Site 3
Site 0,0.7165991902834008,0.0,0.27125506072874495,0.012145748987854251
Site 1,0.06382978723404255,0.0,0.6808510638297872,0.2553191489361702
Site 2,0.31771894093686354,0.0,0.6171079429735234,0.06517311608961303
Site 3,0.037037037037037035,0.0,0.6111111111111112,0.35185185185185186
