,Site 0,Site 1,Site 2,Site 3
Site 0,1.0,0.0,0.0,0.0
Site 1,1.0,0.0,0.0,0.0
Site 2,1.0,0.0,0.0,0.0
Site 3,1.0,0.0,0.0,0.0
