,Site 0,Site 1,Site 2,Site 3
Site 0,0.6234817813765182,0.004048582995951417,0.354251012145749,0.018218623481781375
Site 1,0.425531914893617,0.0,0.5531914893617021,0.02127659574468085
Site 2,0.6211812627291242,0.0,0.3543788187372709,0.024439918533604887
Site 3,0.691358024691358,0.012345679012345678,0.2777777777777778,0.018518518518518517
