,Site 0,Site 1,Site 2,Site 3
Site 0,1.0,0.0,0.0,0.0
Site 1,1.0,0.0,0.0,0.0
Site 2,0.9979633401221996,0.0,0.002036659877800407,0.0
Site 3,1.0,0.0,0.0,0.0
