,Site 0,Site 1,Site 2,Site 3
Site 0,0.9817813765182186,0.0,0.018218623481781375,0.0
Site 1,0.6382978723404256,0.0,0.3617021276595745,0.0
Site 2,0.9531568228105907,0.0,0.04684317718940937,0.0
Site 3,0.8518518518518519,0.0,0.14814814814814814,0.0
