,Site 0,Site 1,Site 2,Site 3
Site 0,0.9493927125506073,0.006072874493927126,0.024291497975708502,0.020242914979757085
Site 1,1.0,0.0,0.0,0.0
Site 2,0.9226069246435845,0.012219959266802444,0.026476578411405296,0.038696537678207736
Site 3,0.9074074074074074,0.006172839506172839,0.024691358024691357,0.06172839506172839
