epoch,train_loss,val_loss,train_recon_loss,val_recon_loss,train_kl_loss,val_kl_loss,beta
1,0.4194842557761338,0.14713761519428878,0.4194624017381189,0.14695388666762157,2.8439954065996997,23.90446592094906,7.686158073360571e-06
2,0.10002101436756564,0.05014455357074339,0.09981757917221468,0.050001507718427526,22.2226717835495,15.625903206126745,9.154408582006738e-06
3,0.043369334521804824,0.02987872095261529,0.04319123602417645,0.029724906830983017,16.276807280241744,14.05744331895707,1.0941850065037413e-05
4,0.024050141929631657,0.01853387237816152,0.023824292679677655,0.018285528024702166,17.218990549569952,18.93398212190456,1.3116306549289961e-05
5,0.01463164383985439,0.010815503053915342,0.01424642180527874,0.01032945100703965,24.444164193055936,30.842321344841285,1.5759257661579782e-05
6,0.009003622306844646,0.007317949975700582,0.008273312743984075,0.006372488005691049,38.5017436297495,49.84451917820551,1.896822375212947e-05
7,0.006250185673585289,0.005200586059009252,0.004926982352516335,0.0036332186585585013,57.88446142046495,68.56559429360074,2.285938966519435e-05
8,0.005171356794472715,0.004870868175848073,0.0030355748620626813,0.002462411357750213,77.46649208260541,87.35662834141964,2.7570396583288997e-05
9,0.005239328541098727,0.005357613469346312,0.002232315517389457,0.0022496850763986443,90.40068445253611,93.43452767464628,3.326316923375208e-05
10,0.005673777597521118,0.00550963131112847,0.0020132485552499042,0.0020189410531862226,91.22459889576463,86.99202240908824,4.012655707396759e-05
11,0.0061154477906661415,0.005944341433586484,0.002107057376831795,0.0022815386834787984,82.85487999588601,75.7114558140171,4.837844730438922e-05
12,0.00643536838167776,0.006247426679102473,0.0022703723387614864,0.0024912363770153113,71.48140090354524,64.4653042694398,5.826685172296986e-05
13,0.006971651341117157,0.006916379280400815,0.0026892737354428024,0.0029651207933482715,61.1163324646814,56.39073692755556,7.006928192300347e-05
14,0.007598521218321581,0.007466864242626473,0.0030928830642696203,0.0032915523856641557,53.581444393649974,49.6531751881475,8.408952379742846e-05
15,0.008367848708926134,0.008300945237528121,0.0035416127714504747,0.0036584448387042734,47.950329644795836,46.12485194126499,0.00010065073863056549
16,0.008966262939025709,0.008962480055423683,0.0037041251716115066,0.004036285961981252,43.82057624446288,41.022995696817354,0.00012008371910009542
17,0.009412597172224342,0.009669532522833268,0.003888025753499575,0.004702589094613906,38.71208501461163,34.80464176190737,0.00014270921383558732
18,0.010622534417302366,0.010830356717657884,0.004946709725962112,0.00572864530159528,33.62183642746815,30.220965694822993,0.0001688136332512095
19,0.01097948684152746,0.010780118698609314,0.0050151575141441284,0.005287941074914557,30.029103034704775,27.651922449220383,0.0001986182953299768
20,0.011360354578025776,0.011251113542595436,0.005005866364799003,0.005333675677423991,27.361289508378686,25.479429576707922,0.0002322437412844814
21,0.012250543068127217,0.01209356501249964,0.0054677343269002,0.005769774376922427,25.152024040669453,23.44989153373999,0.00026967247994862516
22,0.012658062835584334,0.012299125646568062,0.005603633399809425,0.005761873319645391,22.703823508130046,21.03935066274177,0.0003107154933535152
23,0.012994876200055556,0.013214798155162844,0.005825465704958692,0.006653183289370608,20.19612912636506,18.48397730824142,0.00035498935008043036
24,0.013598939358651438,0.013175008058498137,0.006506289843738179,0.006661890960768812,17.647312689865853,16.20537010881813,0.00040191102754766046
25,0.013835317495792256,0.014403985732275507,0.006861773495042893,0.007909174363773603,15.47215237449761,14.409991516317412,0.0004507158366848345
26,0.014582110289640264,0.01453895869362713,0.007635588494833041,0.007822170753941489,13.879163472097323,13.420154960657841,0.0005005
27,0.01439263126727075,0.014287842608938449,0.0072082646840081945,0.0075036907649558525,13.055738891588783,12.328452457951064,0.0005502841633151655
28,0.01493924087415788,0.01467819263330072,0.007932425055409496,0.007976842063002563,11.695785191789943,11.185902873010539,0.0005990889724523396
29,0.014896065714321343,0.014450101564984058,0.007886453372562052,0.007517088475609105,10.850614916739152,10.732041987288357,0.0006460106499195698
30,0.014646944048591395,0.014699191322244927,0.0077519920690475,0.00856849901614879,9.988565267629959,8.881399196127187,0.0006902845066464847
31,0.014849207086341965,0.014459144215046562,0.00826482074506818,0.007940709291891909,9.003334701959812,8.913154263958884,0.0007313275200513749
32,0.015112087509627618,0.014188156665667244,0.00841522088798521,0.0075820965044524355,8.711300555984778,8.593178755463565,0.0007687562587155186
33,0.014666162939801488,0.01511423447384284,0.008002991962809758,0.00890714333806947,8.304240678822374,7.735833179193197,0.0008023817046700233
34,0.014731092674897943,0.015073523897191753,0.008291151670979295,0.008613211616724232,7.738580097505196,7.763059793108682,0.0008321863667487907
35,0.014682877300247874,0.013652500830416296,0.008366962855797218,0.007596877702577258,7.358711891238214,7.055444441511479,0.0008582907861644128
36,0.014560275672119068,0.014614012550226223,0.008281730466414635,0.0090886190608393,7.127289455739697,6.272325410492045,0.0008809162808999045
37,0.014577094373453902,0.013799670519911525,0.008568868378779447,0.007787439216825376,6.673216748676907,6.677665756697639,0.0009003492613694345
38,0.013805730739480486,0.013540156079724083,0.007978383501620348,0.00785566951431658,6.355415952065882,6.199609113776165,0.0009169104762025716
39,0.013670785904829227,0.013580335721523068,0.008043097009199049,0.008440961575378542,6.045228528417335,5.520684050875762,0.0009309307180769967
40,0.01369263255310368,0.01326358789908248,0.008273173505799156,0.007778114312169544,5.7486672688968214,5.818691563048092,0.0009427331482770302
41,0.013631148884693781,0.01258884710462197,0.00833446042958516,0.007234509314805967,5.560118191206276,5.620634405907978,0.0009526215526956109
