epoch,train_loss,val_loss,train_recon_loss,val_recon_loss,train_kl_loss,val_kl_loss,train_age_loss,val_age_loss,train_site_loss,val_site_loss,train_age_mae,val_age_mae,train_site_acc,val_site_acc,train_age_r2,val_age_r2,current_beta,current_grl_alpha
1,57.53745700446405,57.17250308543942,0.010102493342143207,0.038896028874410835,10.972446751554607,26.52194407153688,3.234845624297508,3.2466382517862478,1.8009170906827279,1.6867661579795505,3.234845624297508,3.2466382517862478,48.65996649916248,41.80602006688963,-0.34874892234802246,-0.3586479425430298,7.686158073360571e-06,0.0
2,55.01968063022224,64.44376595283431,0.2966746939486595,0.792417260316702,68.28843663405733,131.68278156395343,2.9573555368075217,2.962190769986564,2.072409415564545,3.843456426193084,2.9573555368075217,2.962190769986564,43.969849246231156,19.39799331103679,-0.12833070755004883,0.025794804096221924,9.154408582006738e-06,0.025
3,58.71370295743447,75.23243833305844,0.6144385359295249,0.21149582448212997,121.80553091231303,78.79833371982127,2.8695853319599403,3.566093382628068,3.010830211080299,4.305736262662753,2.8695853319599403,3.566093382628068,41.37353433835846,45.819397993311036,-0.08976852893829346,-0.6931102275848389,1.0941850065037413e-05,0.05
4,60.47058562976831,63.76566023810651,0.15799040348585727,0.22922047828152825,66.56947759887082,75.0191757304214,2.8392689942914235,2.885766188037834,3.5445373341865474,4.049792600714642,2.8392689942914235,2.885766188037834,41.541038525963145,45.819397993311036,-0.08358645439147949,-0.0539400577545166,1.3116306549289961e-05,0.075
5,64.53198876692421,67.62421843359702,0.3454247593280658,0.3280120852798921,92.57460036030167,94.16545681650423,2.821657742687206,2.8948745504270827,4.3720479930066185,4.774320883097059,2.821657742687206,2.8948745504270827,41.038525963149084,45.819397993311036,-0.05010807514190674,0.07243621349334717,1.5759257661579782e-05,0.1
6,69.50033777642689,76.93417302262424,0.2800782655351725,0.25304489341069225,97.92958214534588,104.49076792228979,2.838531812431425,2.856504260895643,5.32808528194076,6.766316007212253,2.838531812431425,2.856504260895643,40.871021775544385,45.819397993311036,-0.05502748489379883,0.044999539852142334,1.896822375212947e-05,0.125
7,76.67306794593082,88.73668270047293,0.23500518433412715,0.19641312961793664,111.93988881837983,119.90300179165742,2.819017393505154,3.0964295297960773,6.830048711255967,8.418217666970447,2.819017393505154,3.0964295297960773,40.95477386934673,45.819397993311036,-0.027686476707458496,-0.3001077175140381,2.285938966519435e-05,0.15
8,83.03649187966607,88.78811859845318,0.17934976350921683,0.14278322194132917,117.46931207040247,100.92775744179818,2.8437678889812936,3.1770486871534365,8.039477233311638,8.197364303180604,2.8437678889812936,3.1770486871534365,40.95477386934673,45.819397993311036,-0.058817386627197266,-0.3790435791015625,2.7570396583288997e-05,0.17500000000000002
9,85.72614172036124,86.56825567647367,0.1683756010965686,0.18425675070405406,119.29056325430048,121.34445787512738,2.8073976503145355,3.008243930778376,8.688566516192514,8.251261144976153,2.8073976503145355,3.008243930778376,40.95477386934673,45.819397993311036,-0.05981111526489258,-0.244939923286438,3.326316923375208e-05,0.2
10,88.89044776034714,83.79850881314995,0.24792238480881032,0.24655809619753655,141.6634665382168,137.47548351479216,2.8822343501214007,2.8608722997748335,9.080665066014582,8.126669789636415,2.8822343501214007,2.8608722997748335,40.95477386934673,45.819397993311036,-0.07840943336486816,-0.03845977783203125,4.012655707396759e-05,0.22499999999999998
11,89.32853622053136,85.77116659413214,0.27406576460530013,0.24955147116080575,156.90951676105135,157.66381779801486,2.838487025681053,2.877659735472306,9.293914981822871,8.469818719653382,2.838487025681053,2.877659735472306,40.95477386934673,45.819397993311036,-0.04464149475097656,-0.0906522274017334,4.837844730438922e-05,0.25
12,90.74420319370289,84.70697853318026,0.20644083441901248,0.16466760082189055,139.01141140169435,108.06165436199278,2.8073071982193634,3.0716816398212345,9.684011111906425,7.692158561885157,2.8073071982193634,3.0716816398212345,40.95477386934673,45.819397993311036,-0.05044376850128174,-0.2857184410095215,5.826685172296986e-05,0.275
13,92.1324855989747,85.22689936711238,0.17150038251126032,0.16335054977881072,108.99643254879132,91.91931285028872,2.832519700179747,2.971395440723585,9.893110516482661,8.09723522511613,2.832519700179747,2.971395440723585,40.95477386934673,45.819397993311036,-0.0570676326751709,-0.18980705738067627,7.006928192300347e-05,0.3
14,94.58919485529863,81.6062462593002,0.16546876563798243,0.14261227003906085,92.87053615883167,66.5913783299883,2.8574104093427035,2.9710410661920656,10.310951926201033,7.378483579310286,2.8574104093427035,2.9710410661920656,40.95477386934673,45.819397993311036,-0.07032501697540283,-0.16423583030700684,8.408952379742846e-05,0.325
15,95.89068131950033,89.30949853495211,0.17592058611575084,0.18149625004135247,97.92093561322645,109.86169050848206,2.8459263966111483,2.900381745303355,10.60320131183669,9.122243992859703,2.8459263966111483,2.900381745303355,40.95477386934673,45.819397993311036,-0.07587552070617676,-0.052002906799316406,0.00010065073863056549,0.35000000000000003
16,97.94532784824595,86.48596400640481,0.18605862560384037,0.1677320425127661,109.44914940813278,98.63563764693346,2.8863480925759677,2.8314097134963325,10.890180899270216,8.767047722602769,2.8863480925759677,2.8314097134963325,40.95477386934673,45.819397993311036,-0.11868834495544434,0.09371554851531982,0.00012008371910009542,0.375
17,100.82157747150465,89.19856757224603,0.1572327786304643,0.12835441863656444,75.70875163373836,82.83879362380624,2.883077418983881,2.941069531201519,11.48147630611656,8.988468967552567,2.883077418983881,2.941069531201519,40.95477386934673,45.819397993311036,-0.12830829620361328,-0.009183526039123535,0.00014270921383558732,0.4
18,102.41764885217101,95.18780629850151,0.1287177402769501,0.13167965760996508,86.97211995596064,89.46166280280787,2.774781076952041,2.8849256150299887,12.130506585790483,10.353427497838252,2.774781076952041,2.8849256150299887,40.95477386934673,45.819397993311036,-0.024129152297973633,-0.026977896690368652,0.0001688136332512095,0.42500000000000004
19,106.36970926409391,90.38589053967326,0.13956801630743784,0.11899850472658374,102.75582334943353,94.14193771515403,2.8910319010416665,2.91116459393581,12.568850812800166,9.316145370636496,2.8910319010416665,2.91116459393581,40.95477386934673,45.819397993311036,-0.0611952543258667,-0.09860372543334961,0.0001986182953299768,0.44999999999999996
20,105.24578799913876,100.63033782040395,0.19180562732806758,0.20922367862833782,121.00353479944482,129.14006527291494,2.8485401207877565,2.8844149965905026,12.459555977353299,11.42497999452827,2.8485401207877565,2.8844149965905026,40.95477386934673,45.819397993311036,-0.0765615701675415,0.06665849685668945,0.0002322437412844814,0.475
21,106.5918639037677,94.57475780882564,0.16229362398935124,0.14750622945485706,108.01120450069357,99.3717678669703,2.816946778864517,2.870628039573746,12.829248316523618,10.268206605943151,2.816946778864517,2.870628039573746,40.871021775544385,45.819397993311036,-0.0696096420288086,0.012087464332580566,0.00026967247994862516,0.5
22,109.09335172515819,94.78650200885275,0.18399391566688691,0.16388056026055262,112.11780990268318,103.46513223807548,2.7851645874617685,2.807584990625796,13.41941028703597,10.49533902681791,2.7851645874617685,2.807584990625796,40.95477386934673,45.819397993311036,-0.048847198486328125,-0.015431404113769531,0.0003107154933535152,0.525
23,108.38102729835703,99.84423108563375,0.19374416346725706,0.1979377402808754,120.71844612773339,133.36227529264215,2.73598031542409,2.854740729698768,13.420945167541504,11.355568091606216,2.73598031542409,2.854740729698768,41.038525963149084,45.819397993311036,0.013315081596374512,-0.05690300464630127,0.00035498935008043036,0.55
24,111.14181224624915,91.51099750429492,0.2029200936581821,0.1520679956893857,134.3094689578467,111.14265314312684,2.816949422235665,2.835689417893273,13.72613464208504,9.755784293082247,2.816949422235665,2.835689417893273,40.787269681742046,45.819397993311036,-0.03377377986907959,-0.005017757415771484,0.00040191102754766046,0.5750000000000001
25,110.70288351752251,99.7312068109927,0.196536515151436,0.19986790164457915,131.265199773076,126.60748964647784,2.8055132617503156,2.80190504992686,13.672896905959751,11.489139949198949,2.8055132617503156,2.80190504992686,40.787269681742046,45.819397993311036,-0.06767165660858154,0.014383971691131592,0.0004507158366848345,0.6
26,112.02807931564561,97.71161261210872,0.2083342446753727,0.18565449572127798,129.68632241509468,128.91092740572415,2.8161548046610463,2.8074681439925993,13.902503127029393,11.069883349747164,2.8161548046610463,2.8074681439925993,40.871021775544385,45.819397993311036,-0.05357229709625244,0.014614224433898926,0.0005005,0.625
27,111.23191220077437,98.22430950662364,0.1875230558653373,0.16772434469250133,128.04348259036067,125.64496314007303,2.73230820764449,2.8246634429115116,13.997860969211189,11.123498227683996,2.73230820764449,2.8246634429115116,40.871021775544385,45.819397993311036,-0.01735544204711914,0.020487964153289795,0.0005502841633151655,0.65
28,112.68304111090936,93.2970394785189,0.1803952844398505,0.14295412664828094,135.89384146072157,115.3729370015122,2.7995268020597934,2.8530974746946507,14.08566630186148,10.057700329401023,2.7995268020597934,2.8530974746946507,40.619765494137354,45.819397993311036,-0.02481210231781006,-0.04913341999053955,0.0005990889724523396,0.675
29,113.18033537233694,100.12792463525881,0.16560077594852127,0.1595439531631693,131.29993864279896,141.80912867517375,2.7187955870700242,2.84171475933547,14.429596162920621,11.450210147079417,2.7187955870700242,2.84171475933547,40.787269681742046,45.48494983277592,-0.0048285722732543945,0.05443370342254639,0.0006460106499195698,0.7000000000000001
30,114.27993189110428,98.60982952309293,0.16767699394992847,0.14889632818292217,147.91066482518386,140.53902310272522,2.77799773016567,2.8528634903821657,14.468037479087535,11.114193785549407,2.77799773016567,2.8528634903821657,40.7035175879397,45.48494983277592,-0.026743173599243164,-0.039527058601379395,0.0006902845066464847,0.725
31,112.78754013547146,99.11198746799226,0.17507396361336636,0.16905168376638738,153.23422959421947,151.51547409618976,2.688323417899996,2.805378028780322,14.435109926028867,11.350291682724968,2.688323417899996,2.805378028780322,40.7035175879397,45.48494983277592,0.02663719654083252,0.02360522747039795,0.0007313275200513749,0.75
32,112.33348742921149,101.08925161712544,0.16998725785082908,0.15379698285490373,154.0187993648663,142.73233818130748,2.743226501410531,2.8021668486770577,14.179340269897052,11.758645717914288,2.743226501410531,2.8021668486770577,40.7035175879397,45.819397993311036,-0.022905468940734863,-0.01631009578704834,0.0007687562587155186,0.775
33,113.26878093674755,93.01845864388456,0.17572584768236182,0.13002532745484124,155.5498041507587,137.55615652843463,2.723626131987452,2.8927290312023866,14.42277065353777,9.877424539929649,2.723626131987452,2.8927290312023866,40.7035175879397,45.819397993311036,0.012959778308868408,-0.061257243156433105,0.0008023817046700233,0.8
