epoch,train_loss,val_loss,train_acc,val_acc
1,0.9477148815814774,1.2156680407731428,59.2964824120603,45.819397993311036
2,0.7345798867232036,1.1335431843697028,68.67671691792296,45.819397993311036
3,0.6741230782352301,1.1281387770056326,73.03182579564489,45.819397993311036
4,0.6210769017537435,1.1702697312951487,75.2931323283082,45.819397993311036
5,0.5912350088707367,1.2243146936231633,77.05192629815745,45.819397993311036
6,0.5815135352375919,1.2244179049463177,77.05192629815745,45.819397993311036
7,0.5663560582465262,1.1715030526636436,76.88442211055276,45.819397993311036
8,0.5579620914243574,2.1909851290310507,76.21440536013401,45.819397993311036
9,0.5490068886647472,6.639981714778122,76.80067001675042,45.819397993311036
10,0.5356725037996494,11.352491834889287,77.80569514237857,55.51839464882943
11,0.5452566922609531,28.52056968331736,78.81072026800669,45.819397993311036
12,0.5305187411643751,25.767973137539766,78.72696817420436,45.819397993311036
13,0.5413203362244458,10.659228359975145,78.89447236180904,40.13377926421405
14,0.5196816298230809,7.808206266384061,78.47571189279732,46.48829431438127
15,0.5125835264348105,7.279016582463497,80.98827470686767,40.13377926421405
16,0.4984807013167408,11.219338173052938,80.15075376884423,41.1371237458194
17,0.4889632545324227,9.904388226792964,80.56951423785594,40.13377926421405
18,0.48004777212837835,9.759631643327184,81.15577889447236,42.80936454849498
19,0.47016866951931263,7.21825886251137,81.99329983249581,46.48829431438127
20,0.45736555498049686,11.443232587348657,81.23953098827471,46.48829431438127
21,0.4675544726988379,18.266673808911175,80.31825795644892,45.819397993311036
22,0.4528260524548478,12.401413783580564,82.1608040201005,45.819397993311036
23,0.46525030913864146,25.94639954200158,82.07705192629817,45.819397993311036
24,0.4498686528385584,6.2322778167533235,82.41206030150754,50.50167224080268
25,0.456807705725058,13.706754295323604,80.82077051926298,45.819397993311036
26,0.45914325637234316,7.577433268760758,81.4070351758794,44.81605351170568
27,0.4342081736479972,6.814103219022719,82.83082077051927,57.52508361204013
28,0.44659189003795835,7.458146487590063,81.99329983249581,46.48829431438127
29,0.4337360172515339,12.31179658226345,82.24455611390285,45.819397993311036
30,0.4404603916296807,15.334195998201402,81.99329983249581,45.819397993311036
31,0.44216786896563454,9.12078205000198,82.83082077051927,45.819397993311036
32,0.4564259377755911,6.928807693979015,82.24455611390285,45.819397993311036
33,0.44994787774493344,8.390695396474372,81.90954773869346,45.819397993311036
34,0.43028360924728754,11.520637945985316,82.49581239530988,45.819397993311036
35,0.4290968939487259,6.545631756351943,82.57956448911223,46.48829431438127
36,0.4348872127245419,15.084762930471364,82.49581239530988,45.819397993311036
37,0.41872931784720874,13.969520071278447,83.24958123953098,45.819397993311036
38,0.42208651452008605,8.788304142330004,83.08207705192629,45.819397993311036
39,0.4185137601953056,7.894746802722331,84.50586264656617,45.819397993311036
40,0.4195198333842471,6.633851060899205,84.08710217755444,46.15384615384615
41,0.4248500369501673,4.0549491121617445,82.83082077051927,46.82274247491639
42,0.4139042196661184,2.6609377657689377,83.8358458961474,55.18394648829431
43,0.4181958372069763,3.3101732340146066,82.91457286432161,58.19397993311036
44,0.40375448476329723,7.505251940277508,85.09212730318258,45.819397993311036
45,0.4240106652729475,9.86996173539688,83.16582914572864,45.819397993311036
46,0.43712218198145253,7.577431273699604,82.66331658291458,55.18394648829431
47,0.41304305200800423,11.007593175639277,83.66834170854271,40.13377926421405
48,0.41940468594656516,5.437768283895027,83.50083752093802,41.1371237458194
49,0.431999659518301,2.8848853801006458,83.8358458961474,59.86622073578596
50,0.4141650619718497,2.574975408837947,83.41708542713567,46.82274247491639
51,0.42507781375392995,3.140417694646778,82.99832495812394,49.163879598662206
52,0.4436676478266117,1.7354595768810515,81.90954773869346,58.862876254180605
53,0.4099250984950681,2.162073577925513,84.42211055276381,52.508361204013376
54,0.4068594178562388,1.996319165197902,84.33835845896147,49.163879598662206
55,0.40576707480640667,1.8611838482694083,84.08710217755444,61.20401337792642
56,0.4109672835124797,1.959434075100366,83.8358458961474,55.852842809364546
57,0.4167574654571974,2.5248578655281193,83.66834170854271,52.84280936454849
58,0.3941928021472503,1.8673795768648487,83.91959798994975,51.17056856187291
59,0.41432827461504657,1.309195237813586,83.24958123953098,62.207357859531776
60,0.39689980275067854,1.5857545958713544,84.67336683417085,55.852842809364546
61,0.40855110390501803,1.902379582956882,83.91959798994975,50.50167224080268
62,0.4307060012066584,1.4333111255065254,84.17085427135679,59.86622073578596
63,0.41698233196683465,1.520081655237587,83.41708542713567,54.84949832775919
64,0.4104108645688349,1.163575033878403,82.99832495812394,62.87625418060201
65,0.4061137252117521,1.195732235509815,83.75209380234506,59.19732441471572
66,0.40904159197455875,1.327775450255161,84.25460636515912,54.84949832775919
67,0.39890115295023576,1.6477924007237157,85.09212730318258,52.508361204013376
68,0.4013653743007475,1.1347767383757243,84.17085427135679,60.200668896321076
69,0.41545005284961145,2.1756520889275848,82.66331658291458,48.49498327759198
