epoch,train_loss,val_loss,train_recon_loss,val_recon_loss,train_kl_loss,val_kl_loss,train_age_loss,val_age_loss,train_site_loss,val_site_loss,train_age_mae,val_age_mae,train_site_acc,val_site_acc,train_age_r2,val_age_r2,current_beta,current_grl_alpha
1,53.98988133978404,58.48283678392902,0.047214650329033936,0.24356928397979227,12.18419326769447,35.97877998734796,3.111543196130238,3.133992879287056,1.4538850504748986,2.24581970578452,3.111543196130238,3.133992879287056,43.63484087102177,15.050167224080269,-0.26130831241607666,-0.09277927875518799,7.686158073360571e-06,0.0
2,51.06781381578302,51.78125307472254,0.5230490368614644,0.4517397575553843,61.962801845429134,61.924294589753934,2.9623778173871576,3.0519093805332247,1.2217059115468956,1.1100610893306924,2.9623778173871576,3.0519093805332247,46.901172529313236,48.16053511705686,-0.1362144947052002,-0.15209436416625977,9.154408582006738e-06,0.025
3,50.334913538129285,52.26741061003312,0.26403464174749863,0.10456450764451139,44.75231763625664,26.748702996550595,2.8973961715123164,3.0586787418378236,1.3218892744837494,1.2564743051560827,2.8973961715123164,3.0586787418378236,42.211055276381906,46.15384615384615,-0.09312665462493896,-0.16472506523132324,1.0941850065037413e-05,0.05
4,50.94511638494392,53.013203904780255,0.10419046378365314,0.12887388592380344,27.50289289516021,32.70951207904114,2.91596546364789,2.9941865528706324,1.4202165639580195,1.5942202603139208,2.91596546364789,2.9941865528706324,35.76214405360134,39.79933110367893,-0.09692728519439697,-0.17898809909820557,1.3116306549289961e-05,0.075
5,51.44269697869842,55.88393837153712,0.16483798203755862,0.1510807300192058,39.714601066244306,39.319552073909286,2.862435619236037,2.9757913849425557,1.6681396428065085,2.219072983017733,2.862435619236037,2.9757913849425557,30.82077051926298,13.043478260869565,-0.0820612907409668,-0.12241578102111816,1.5759257661579782e-05,0.1
6,53.10902783059994,58.3095974874337,0.17747983496193112,0.20567062467236982,44.00801846809323,47.922911793890606,2.858368084858011,2.9722742013708006,2.011038449142047,2.703780915027478,2.858368084858011,2.9722742013708006,21.85929648241206,11.036789297658862,-0.08366787433624268,-0.009659409523010254,1.896822375212947e-05,0.125
7,54.99607608226476,59.35128467776703,0.24734923902468467,0.24262363934596645,55.05809158376314,58.25110564981416,2.8677561530715456,2.948815130469791,2.3462251255060957,2.975020597610984,2.8677561530715456,2.948815130469791,19.179229480737018,10.367892976588628,-0.09774506092071533,-0.07535088062286377,2.285938966519435e-05,0.15
8,57.52096386371146,64.07109771524385,0.22246787536084353,0.27698161281072176,59.66160306179743,79.59539108531531,2.8559625320498467,2.9122294606173718,2.891482243785507,4.021695642567,2.8559625320498467,2.9122294606173718,16.331658291457288,10.367892976588628,-0.08712410926818848,-0.10745549201965332,2.7570396583288997e-05,0.17500000000000002
9,62.25490705531646,61.80125646686873,0.26533289588176623,0.17095901201600613,88.69893578508591,78.811122473267,2.9094466432255115,2.9154244705187438,3.6689847502077444,3.5792616968569546,2.9094466432255115,2.9154244705187438,15.07537688442211,10.367892976588628,-0.12138664722442627,-0.1269608736038208,3.326316923375208e-05,0.2
10,64.69550631473612,65.06507227971004,0.14466153272432297,0.13474872783075606,70.8063920498693,64.55768082532596,2.8846990734688203,2.949602109532691,4.255503243936766,4.136739611226978,2.8846990734688203,2.949602109532691,14.991624790619765,10.367892976588628,-0.08789074420928955,-0.10228586196899414,4.012655707396759e-05,0.22499999999999998
