epoch,train_loss,val_loss,train_recon_loss,val_recon_loss,train_kl_loss,val_kl_loss,beta
1,0.01276303097134584,0.0023635975404464977,0.012727205902088427,0.0021857346850369485,4.660978687867846,23.14067281129767,7.686158073360571e-06
2,0.0014665462811816004,0.0009757838356791432,0.0011282137737857487,0.0005170119273005969,36.95842378702595,50.11485726857265,9.154408582006738e-06
3,0.0009393284323124505,0.0007907524903501107,0.00039281683045375463,0.000303432304898034,49.94691237253161,44.537277795798005,1.0941850065037413e-05
4,0.0008092803893832356,0.0007108789311883891,0.0003214947635758749,0.00035273927664166213,37.1892509524347,27.304914455350026,1.3116306549289961e-05
5,0.0007371893677146017,0.0006613347338306964,0.00038457021148995477,0.0003774038401711109,22.375364559179975,18.016767374249206,1.5759257661579782e-05
6,0.0006879122486693701,0.0006321939035477646,0.0003777198681461202,0.0003641761000732265,16.353264751146785,14.12983300135686,1.896822375212947e-05
7,0.0006465677074835303,0.0005945238776514337,0.0003630705010571004,0.00036597819358381417,12.40178448630737,9.997890947654495,2.285938966519435e-05
8,0.0005944425930850944,0.0005452346539881741,0.000357449527643075,0.0003452668698266286,8.59592524006139,7.252988659019853,2.7570396583288997e-05
9,0.0005468564683070696,0.0004958360139389576,0.0003315982998893214,0.0003090809246550087,6.471367095583048,5.614470488251651,3.326316923375208e-05
10,0.0004834249519923986,0.0004359039588579067,0.0002888726016703113,0.0002711747475529096,4.848468360389696,4.105241525133318,4.012655707396759e-05
11,0.00043249413633556844,0.0003915977296162471,0.00025029348271315483,0.0002443274170826859,3.766153413047343,3.044130764677373,4.837844730438922e-05
12,0.00040961298036624615,0.0003722362929097,0.0002349395224919318,0.00019630774469963622,2.997818675272828,3.0193592632893336,5.826685172296986e-05
13,0.0003599831430784347,0.000347404204617351,0.0001876404899144405,0.00020402986062791845,2.459603481156942,2.046179643044105,7.006928192300347e-05
14,0.0003315249952866729,0.00031882076690450034,0.0001627863996109958,0.00017432368999576028,2.006654259148155,1.7183718661400786,8.408952379742846e-05
15,0.0003246866684123075,0.0002946118229648167,0.00015409724557069498,0.00013712363343500536,1.6948651135267325,1.5646998611182275,0.00010065073863056549
16,0.00029697150338700096,0.0002742513198947478,0.00014407844151305098,0.00013781843818319231,1.273220572839031,1.136148072804097,0.00012008371910009542
17,0.0002976323274538308,0.00027334172960781934,0.00014456370029359794,0.00014124816029728157,1.0725910319155785,0.9256135161505097,0.00014270921383558732
18,0.00027746722742546994,0.0002707800169726117,0.0001435229758840441,0.00015956589027991624,0.7934444924095767,0.6587982195675572,0.0001688136332512095
19,0.00026872989457760513,0.00022356460558329972,0.0001561317194911918,0.00012158245737621573,0.56690739447148,0.5134579712730586,0.0001986182953299768
20,0.0002450881414918831,0.00022448654334063963,0.00014734934381005734,0.00014465399206005486,0.4208457811893131,0.3437447041572137,0.0002322437412844814
21,0.00022139081174127095,0.0001971657442615794,0.0001471118089246487,0.0001383457632842832,0.2754415382991484,0.21811635094542167,0.00026967247994862516
22,0.0001881361730947429,0.00020035075445824543,0.000129495801573184,0.00016076912089012702,0.18872689304739187,0.12738868190492675,0.0003107154933535152
23,0.00017297721138946287,0.00014570452742836124,0.00013547881201305076,0.00011602792932973539,0.1056324704682807,0.08359855655144688,0.00035498935008043036
24,0.00014426461146490016,0.00012972549112695876,0.00011625899161320177,0.00011145519153028104,0.06968114681080158,0.04545857222831767,0.00040191102754766046
25,0.00013472130642301,0.00011921894136406668,0.00011692067966648257,0.00010242605508682022,0.03949412233016798,0.037258254133638334,0.0004507158366848345
26,0.00011061678663798229,9.82910558584467e-05,9.700970187876062e-05,9.018669026961432e-05,0.02718698061765538,0.016192541186725813,0.0005005
27,9.287209929609781e-05,8.288691343329255e-05,8.509497110112968e-05,7.658283368109672e-05,0.014132931315257422,0.01145604294864928,0.0005502841633151655
28,7.79322169914567e-05,7.647923730686774e-05,7.280575074604517e-05,7.125071228877408e-05,0.008557102082911848,0.00872746024928663,0.0005990889724523396
29,7.047368719146378e-05,6.806008184070147e-05,6.574943741249979e-05,6.498508173839989e-05,0.00731295886507236,0.004759982670579467,0.0006460106499195698
30,6.054402748400687e-05,5.5248391998302576e-05,5.7805625815802506e-05,5.271333723074373e-05,0.0039670618330526295,0.003672478899646264,0.0006902845066464847
31,5.109516575523392e-05,4.597480475669338e-05,4.901761063376529e-05,4.3889567452887026e-05,0.0028407999748828973,0.002851305784888092,0.0007313275200513749
32,4.3031784794396693e-05,4.3818891270554944e-05,4.124976270335845e-05,4.294279118231654e-05,0.0023180585568287164,0.0011396335303957845,0.0007687562587155186
33,4.238942872893363e-05,3.264796114582171e-05,4.1276849704177214e-05,3.137580328421429e-05,0.0013865955083099018,0.0015854772751104323,0.0008023817046700233
34,3.427934769227659e-05,3.064812925758298e-05,3.334054120415954e-05,3.0010645768864478e-05,0.0011281199399163476,0.0007660343102646686,0.0008321863667487907
