epoch,train_loss,val_loss,train_recon_loss,val_recon_loss,train_kl_loss,val_kl_loss,train_age_loss,val_age_loss,train_site_loss,val_site_loss,train_age_mae,val_age_mae,train_site_acc,val_site_acc,train_age_r2,val_age_r2,current_beta,current_grl_alpha
1,53.342325105139956,64.99968221913214,0.05044102863450745,0.23731937884885732,11.635247867910108,28.520478889694978,3.0157316885202174,3.0930735538635763,1.6111639672188303,3.673208658511822,3.0157316885202174,3.0930735538635763,43.21608040201005,36.78929765886287,-0.19826292991638184,-0.2589437961578369,7.686158073360571e-06,0.0
2,53.16877560000523,57.14891207895949,0.6192435277766318,0.5940408230226574,51.65932516995786,55.055335654064166,2.9282861430840676,2.996728761539013,1.7249532378897994,2.320687378529322,2.9282861430840676,2.996728761539013,46.81742043551089,43.1438127090301,-0.1110001802444458,0.04539167881011963,9.154408582006738e-06,0.025
3,56.303068343119406,57.709984540141946,0.39943379408350743,0.34835180709991964,45.7382353330577,47.26902805443193,2.888519633355452,3.0082496544190476,2.5150679264036655,2.4474742348776215,2.888519633355452,3.0082496544190476,42.462311557788944,46.82274247491639,-0.11579704284667969,-0.22148728370666504,1.0941850065037413e-05,0.05
4,58.347131323375095,58.848866886917165,0.31852323805267485,0.2805987931414193,50.176236393863036,52.61917490624265,2.8384487069831223,2.8998432518247776,3.0902440807527833,3.0139859775237015,2.8384487069831223,2.8998432518247776,40.7035175879397,40.468227424749166,-0.08620929718017578,-0.07943272590637207,1.3116306549289961e-05,0.075
5,60.611374240025405,61.93198661421454,0.2623001484315799,0.2425617609534375,52.23074704398662,50.84723901908134,2.8583184430746975,2.885025608898405,3.4946951798258516,3.6826478175096287,2.8583184430746975,2.885025608898405,40.7035175879397,40.468227424749166,-0.0889211893081665,-0.06673324108123779,1.5759257661579782e-05,0.1
6,62.125826734993325,69.54241037528251,0.18940429637829462,0.10603783907599273,43.72283260786354,28.20215501434428,2.8187506837860825,3.704111501923373,3.9308664738832406,2.77483271914581,2.8187506837860825,3.704111501923373,40.619765494137354,44.14715719063545,-0.024082064628601074,-0.7896535396575928,1.896822375212947e-05,0.125
7,69.69075148948274,83.33093516882447,0.22353424803296126,0.5243160112645714,45.551938553751015,75.91381055136588,2.9015814802754463,3.0488169081633707,5.188490703077972,7.414525641246783,2.9015814802754463,3.0488169081633707,40.7035175879397,40.13377926421405,-0.12945067882537842,0.028262734413146973,2.285938966519435e-05,0.15
8,77.55623109136994,78.38443564730743,0.49933229324406314,0.2933127612971941,71.65464129679566,53.02029607766448,2.883309163440212,2.9682971378632614,6.761057355296073,6.7130399707169035,2.883309163440212,2.9682971378632614,40.619765494137354,40.13377926421405,-0.08965528011322021,-0.12253415584564209,2.7570396583288997e-05,0.17500000000000002
9,77.31488578962521,83.23715240580582,0.2964719828449102,0.366066863106246,55.09690960447992,68.6182363248589,2.833364188770952,2.957744624702428,6.903223648742216,7.700526232703473,2.833364188770952,2.957744624702428,40.619765494137354,40.13377926421405,-0.05581200122833252,-0.14535927772521973,3.326316923375208e-05,0.2
10,78.96638608897351,77.27083705021785,0.36780542956424916,0.20740775175915913,71.93282369872433,53.22738407607063,2.8395672163971306,3.0179608266887854,7.20043713443443,6.358375589185734,2.8395672163971306,3.0179608266887854,40.619765494137354,40.13377926421405,-0.06743061542510986,-0.22807979583740234,4.012655707396759e-05,0.22499999999999998
