epoch,train_loss,val_loss,train_r2,val_r2,current_lr
1,10.225854800174783,10.69235573963178,-8.376447677612305,-7.9445295333862305,0.0001
2,9.035988154323457,10.200494370731622,-6.567493915557861,-7.231624603271484,0.0001
3,7.652889935415194,9.404610525405527,-4.748284339904785,-6.15181827545166,0.0001
4,6.260600436672294,8.346654284359222,-3.2184596061706543,-4.854886531829834,0.0001
5,4.953697608743281,6.930745322568759,-1.9910414218902588,-3.356198310852051,0.0001
6,3.8706917610999128,5.215034156340022,-1.0644338130950928,-1.8817317485809326,0.0001
7,3.173399576989051,3.732871561943488,-0.4229494333267212,-0.774216890335083,0.0001
8,2.8978715034785183,3.1004109286943007,-0.10373187065124512,-0.2687298059463501,0.0001
9,2.8193667757650913,3.008619668890401,-0.007846713066101074,-0.1687992811203003,0.0001
10,2.7379085526394484,3.0004639250777636,0.005111575126647949,-0.1601465940475464,0.0001
11,2.7208027839660645,2.9297979173054265,0.01981121301651001,-0.0804671049118042,0.0001
12,2.6613701172609825,2.9106969012065873,0.07496535778045654,-0.05499577522277832,0.0001
13,2.6310435771143417,2.899727366839763,0.09216529130935669,-0.056465983390808105,0.0001
14,2.62798285124889,2.872653062526996,0.08185559511184692,-0.0241243839263916,0.0001
15,2.6325462934759196,2.8155946085684276,0.09248948097229004,0.03195768594741821,0.0001
16,2.6272434269762917,2.8249448517891875,0.09659081697463989,0.007766067981719971,0.0001
17,2.5756600154704183,2.7824863837315488,0.11709868907928467,0.053799331188201904,0.0001
18,2.6004367693385086,2.7606845045568154,0.11668312549591064,0.07309401035308838,0.0001
19,2.5883238579160603,2.7611267853740067,0.13767772912979126,0.06807386875152588,0.0001
20,2.5617675533646116,2.7858140715787245,0.1351284384727478,0.04612398147583008,0.0001
21,2.597443429269583,2.7555704252377002,0.10952800512313843,0.07665210962295532,0.0001
22,2.5614933392510344,2.748688389226346,0.1349303126335144,0.08615678548812866,0.0001
23,2.550360946399682,2.7462279772678744,0.13799655437469482,0.0784454345703125,0.0001
24,2.553613379572704,2.7287542859846132,0.12796801328659058,0.08729368448257446,0.0001
25,2.523546068312934,2.7296315977804637,0.16866081953048706,0.084983229637146,0.0001
26,2.503542561427233,2.7284847358397415,0.17457014322280884,0.08488857746124268,0.0001
27,2.511808464874574,2.7303568064967125,0.17365270853042603,0.08253693580627441,0.0001
28,2.527897059218568,2.707246500512828,0.16042768955230713,0.11175763607025146,0.0001
29,2.5184422142341907,2.7156931397109525,0.18202197551727295,0.10968673229217529,0.0001
30,2.468119699551632,2.742066661649723,0.19771039485931396,0.09351420402526855,0.0001
31,2.5322476603477644,2.7513139822012604,0.1618356704711914,0.08575159311294556,0.0001
32,2.5879214596708415,2.7615715293182577,0.11658412218093872,0.07053172588348389,0.0001
33,2.472264444009343,2.753439640121715,0.18956983089447021,0.08103340864181519,0.0001
34,2.4964667400922407,2.756181561428568,0.1765444278717041,0.08106619119644165,0.0001
35,2.5490725643471057,2.7259005926125823,0.163038432598114,0.11237913370132446,0.0001
36,2.5116404704312782,2.736300769059554,0.18401670455932617,0.08876723051071167,0.0001
37,2.461963104842296,2.7405841310686094,0.20256364345550537,0.09218674898147583,0.0001
38,2.4899588507823207,2.7559381025690697,0.20674753189086914,0.07850724458694458,0.0001
39,2.4890840660587226,2.8242567630117157,0.17458850145339966,0.010708630084991455,0.0001
40,2.4560418720021717,2.778396052261659,0.18496179580688477,0.056710124015808105,5e-05
41,2.4555545568066823,2.7604596072614793,0.19312500953674316,0.07008856534957886,5e-05
42,2.4843451868948625,2.7478626882750854,0.1718173623085022,0.07941138744354248,5e-05
43,2.4583980358226016,2.7479582151840365,0.19530761241912842,0.08033287525177002,5e-05
44,2.4873408432581914,2.7576395755627483,0.1848224401473999,0.06929266452789307,5e-05
45,2.4088109885428217,2.736426428408926,0.2198759913444519,0.09559404850006104,5e-05
46,2.485360008587989,2.7275800800642442,0.19451838731765747,0.1064348816871643,5e-05
47,2.424370909855394,2.7354773390651945,0.2321988344192505,0.09779947996139526,5e-05
48,2.4839516436834033,2.7620727999951926,0.1825087070465088,0.07262498140335083,5e-05
49,2.464878347850525,2.7666593379400246,0.18642592430114746,0.06732964515686035,5e-05
50,2.446682197564411,2.7502590788646684,0.19658154249191284,0.08059519529342651,5e-05
