epoch,train_loss,val_loss,train_acc,val_acc,current_lr
1,1.2359947882704998,1.307936880500819,41.62479061976549,43.812709030100336,0.0001
2,1.1248723290473772,1.2342575034967633,47.31993299832496,43.812709030100336,0.0001
3,1.0660493661410844,1.166303776578361,50.41876046901172,44.481605351170565,0.0001
4,1.0280028959015506,1.0998614412486354,53.768844221105525,46.15384615384615,0.0001
5,0.9986498805146721,1.0215462165134008,55.1926298157454,53.84615384615385,0.0001
6,0.9685414634158264,0.9551086587252027,55.778894472361806,61.87290969899666,0.0001
7,0.9558034344534179,0.9089767659786951,57.11892797319933,65.55183946488295,0.0001
8,0.9388703462266842,0.8810028292263631,58.040201005025125,66.5551839464883,0.0001
9,0.9249529690798404,0.8618137166651595,57.45393634840871,65.88628762541806,0.0001
10,0.9151672673984189,0.847711379512098,59.798994974874375,65.55183946488295,0.0001
11,0.9006408209377398,0.8367414085761361,59.54773869346733,67.22408026755853,0.0001
12,0.8902215903727853,0.8259467959005299,60.72026800670016,66.88963210702342,0.0001
13,0.8865634615297493,0.818861379272563,60.971524288107204,64.54849498327759,0.0001
14,0.8752448339158766,0.8127002363220904,61.47403685092128,67.22408026755853,0.0001
15,0.8685410783518499,0.8094202264096825,61.725293132328304,67.89297658862876,0.0001
16,0.8665342059367066,0.8052797445086731,61.13902847571189,66.22073578595318,0.0001
17,0.8695412571705765,0.8002965888849469,62.06030150753769,66.22073578595318,0.0001
18,0.8544960302523832,0.7979106703729534,61.892797319933,66.88963210702342,0.0001
19,0.8509549434660267,0.7905118184344825,63.81909547738693,66.22073578595318,0.0001
20,0.85231440840055,0.7893823177918143,64.40536013400336,66.22073578595318,0.0001
21,0.8567940835377679,0.7895691364903913,63.14907872696818,66.5551839464883,0.0001
22,0.8481471990820152,0.7842772806368544,64.40536013400336,65.88628762541806,0.0001
23,0.8461216784002793,0.7822468314681165,62.311557788944725,65.55183946488295,0.0001
24,0.8468023076329,0.7838232688680541,63.5678391959799,66.22073578595318,0.0001
25,0.8388243469361284,0.7792391404260361,62.8140703517588,64.21404682274247,0.0001
26,0.8318750637659875,0.7781822474106498,63.5678391959799,66.22073578595318,0.0001
27,0.8384632931482452,0.7749933233627906,63.23283082077052,66.88963210702342,0.0001
28,0.8315232262339823,0.7757907150979824,63.735343383584585,66.5551839464883,0.0001
29,0.8317381463058829,0.7730025571325551,63.902847571189284,68.56187290969899,0.0001
30,0.8246584116314324,0.7699598428796366,63.902847571189284,68.56187290969899,0.0001
31,0.8271630895597052,0.7665859869491296,64.57286432160804,68.22742474916387,0.0001
32,0.8243505714127366,0.7678367047006869,63.735343383584585,68.22742474916387,0.0001
33,0.8422337750493981,0.7610356341237607,65.15912897822446,68.22742474916387,0.0001
34,0.8088616628942378,0.7632965301988914,66.33165829145729,68.22742474916387,0.0001
35,0.8255252797200252,0.7650393231656639,64.82412060301507,68.56187290969899,0.0001
36,0.8246010782530959,0.7616494192327544,64.07035175879398,69.23076923076923,0.0001
37,0.806426405107955,0.767682711814957,65.32663316582915,69.56521739130434,0.0001
38,0.8135802009996258,0.7581117964508541,66.1641541038526,68.56187290969899,0.0001
39,0.8125114339080888,0.7575964564862459,65.49413735343383,69.56521739130434,0.0001
40,0.8051527108579025,0.7558447457476204,65.82914572864321,69.23076923076923,0.0001
41,0.8124645716780594,0.7534147377396906,65.66164154103853,68.89632107023411,0.0001
42,0.8006333973339854,0.7512683086969382,65.82914572864321,68.56187290969899,0.0001
43,0.811244622247303,0.7555746071314732,64.57286432160804,68.89632107023411,0.0001
44,0.8082185400590625,0.7499207439629928,66.66666666666666,69.23076923076923,0.0001
45,0.7779957562235732,0.7422875600515002,65.91289782244556,70.23411371237458,0.0001
46,0.7947787062406939,0.746093376025707,66.08040201005025,69.56521739130434,0.0001
47,0.7957287655403865,0.7474575489261078,66.08040201005025,69.89966555183946,0.0001
48,0.8119193859635485,0.7463549959619707,65.2428810720268,69.89966555183946,0.0001
49,0.7865728258687248,0.7478311697774906,66.49916247906198,71.57190635451505,0.0001
50,0.8019478186291067,0.7454991643644097,64.82412060301507,69.89966555183946,0.0001
51,0.8030619436572345,0.7412299561660026,65.9966499162479,72.24080267558529,0.0001
52,0.7799843347052633,0.7430132697258506,67.58793969849246,70.90301003344482,0.0001
53,0.8057373140125818,0.7419780102063183,64.15410385259631,70.90301003344482,0.0001
54,0.7954422514043261,0.7436289189252566,66.41541038525963,71.90635451505017,0.0001
55,0.7925616450844897,0.7394885988937174,65.2428810720268,71.57190635451505,0.0001
56,0.8068119706820004,0.7366599885117648,66.66666666666666,71.57190635451505,0.0001
57,0.78341955325911,0.742461173430733,66.33165829145729,71.57190635451505,0.0001
58,0.7779437987448982,0.7338129517226714,66.41541038525963,70.90301003344482,0.0001
59,0.776046152290587,0.7349396286202114,67.08542713567839,71.23745819397993,0.0001
60,0.7738997985170515,0.7329326387631854,67.25293132328308,71.57190635451505,0.0001
61,0.7846109117295474,0.7356674483787256,66.91792294807371,69.89966555183946,0.0001
62,0.7651577762622929,0.7338183857126778,68.25795644891123,70.23411371237458,0.0001
63,0.778097113672413,0.725809650875653,66.24790619765494,71.57190635451505,0.0001
64,0.7789685353761542,0.7286432439268233,65.82914572864321,72.24080267558529,0.0001
65,0.7762412847186653,0.7324943614245258,67.08542713567839,70.23411371237458,0.0001
66,0.7617560412416506,0.7235891169130204,67.67169179229481,72.24080267558529,0.0001
67,0.7642057574973434,0.723790412762492,67.42043551088777,71.57190635451505,0.0001
68,0.7666292197540577,0.725185021110203,66.49916247906198,70.90301003344482,0.0001
69,0.7592488383527977,0.7251077220591414,66.33165829145729,70.23411371237458,0.0001
70,0.7768787655798435,0.7205150847052252,66.33165829145729,71.57190635451505,0.0001
71,0.7666700803854158,0.7201807508899216,67.92294807370183,71.90635451505017,0.0001
72,0.7575289113837071,0.7191074544370772,66.75041876046902,70.90301003344482,0.0001
73,0.7618859417274769,0.7157784223955211,67.00167504187606,73.24414715719062,0.0001
74,0.7691031533669387,0.7140926664888261,67.16917922948073,72.24080267558529,0.0001
75,0.761010392427045,0.7231935709216523,68.09045226130654,70.90301003344482,0.0001
76,0.7639273724563956,0.7178141203612388,68.34170854271356,70.90301003344482,0.0001
77,0.7479437340044696,0.7196447179468978,68.76046901172529,70.5685618729097,0.0001
78,0.7468659090037322,0.7174222260015864,69.01172529313233,71.23745819397993,0.0001
79,0.747263939336716,0.7194140415925246,67.58793969849246,71.23745819397993,0.0001
80,0.7471944119662696,0.7133492201467023,69.26298157453937,71.23745819397993,0.0001
81,0.7537360796377287,0.7152169043802498,68.25795644891123,70.5685618729097,0.0001
82,0.7494157728438002,0.7212473034460011,68.09045226130654,70.90301003344482,0.0001
83,0.7528380187512242,0.7151846006562479,69.09547738693468,71.23745819397993,0.0001
84,0.7577708725953222,0.7155090137867625,66.75041876046902,70.5685618729097,0.0001
85,0.7573151157129949,0.7102553619190203,67.75544388609715,73.91304347826086,0.0001
86,0.7554340881718263,0.711359387855466,68.17420435510888,72.24080267558529,0.0001
87,0.7532816274681283,0.7112484598239529,68.17420435510888,70.90301003344482,0.0001
