epoch,train_loss,val_loss,train_recon_loss,val_recon_loss,train_kl_loss,val_kl_loss,current_beta,current_lr
1,0.31086692378748604,0.28165620585349094,0.31086692378748604,0.28165620585349094,0.18098061887463132,0.29159285681303526,0.0,0.0001
2,0.26476662709585186,0.24030112911227555,0.26476662709585186,0.24030112911227555,0.48229476435100616,0.8709922568455188,0.0,0.0001
3,0.22276427051429973,0.19673066259825908,0.22276427051429973,0.19673066259825908,1.4214947822704986,2.4863929142521375,0.0,0.0001
4,0.17879251269639237,0.14809787173733663,0.17879251269639237,0.14809787173733663,3.910830945824858,6.6077997277811615,0.0,0.0001
5,0.12509402779977724,0.09160957709702361,0.12509402779977724,0.09160957709702361,10.208041702283287,16.89880903747967,0.0,0.0001
6,0.07734888111876084,0.062253438945498354,0.07734888111876084,0.062253438945498354,24.155886421650898,33.066994376804516,0.0,0.0001
7,0.051131434039754085,0.036521429426494646,0.051131434039754085,0.036521429426494646,35.5341029909987,37.1983746047004,0.0,0.0001
8,0.029592874686122938,0.020562110967111826,0.029592874686122938,0.020562110967111826,41.076730552430526,48.63280725638603,0.0,0.0001
9,0.01611242952196542,0.011955635285746294,0.01611242952196542,0.011955635285746294,55.542794149325324,62.22456467032034,0.0,0.0001
10,0.00964331377759401,0.007997841923108269,0.00964331377759401,0.007997841923108269,65.2659334217883,68.8479644111965,0.0,0.0001
11,0.0067713577144309705,0.006185493593954522,0.0067713577144309705,0.006185493593954522,72.8868169608827,77.12028031365129,0.0,0.0001
12,0.005447059331564748,0.0048941466116337075,0.005447059331564748,0.0048941466116337075,79.54485767051403,82.1662553002603,0.0,0.0001
13,0.004400422994727565,0.004136107411908366,0.004400422994727565,0.004136107411908366,85.81003865764369,89.83077005239633,0.0,0.0001
14,0.003696156059231116,0.003613422455010705,0.003696156059231116,0.003613422455010705,92.96838975711483,96.31034478535221,0.0,0.0001
15,0.0032297374448197673,0.0032344052340698283,0.0032297374448197673,0.0032344052340698283,99.99441460588669,103.78600068873784,0.0,0.0001
16,0.002878127665254264,0.00292211691739916,0.002878127665254264,0.00292211691739916,107.35694679503065,110.44674636687722,0.0,0.0001
17,0.0025886004557443072,0.0026392281416766222,0.0025886004557443072,0.0026392281416766222,114.11572510992463,117.28661920553864,0.0,0.0001
18,0.0023945421686355443,0.0024809516899374916,0.0023945421686355443,0.0024809516899374916,120.51697835490931,123.78083688997505,0.0,0.0001
19,0.002218384971183848,0.0023151822536124733,0.002218384971183848,0.0023151822536124733,126.64132269982318,129.4184522341725,0.0,0.0001
20,0.002082114814978773,0.002210779433266375,0.002082114814978773,0.002210779433266375,132.5307545366399,135.37121235008624,0.0,0.0001
21,0.001981435490653568,0.0021114746065044082,0.001981435490653568,0.0021114746065044082,138.40752915681108,140.51707580974667,0.0,0.0001
22,0.0018710044126449095,0.002080761167971436,0.0018710044126449095,0.002080761167971436,143.84933558580664,145.71217096130982,0.0,0.0001
23,0.001806303364625653,0.0019216360625527475,0.001806303364625653,0.0019216360625527475,149.2077272245832,151.10275028700812,0.0,0.0001
24,0.0017241405822739156,0.0018897817429641018,0.0017241405822739156,0.0018897817429641018,154.57404804069992,156.80341408005526,0.0,0.0001
25,0.0016579948148457723,0.0018327842563091712,0.0016579948148457723,0.0018327842563091712,159.89058730031178,162.28716923640326,0.0,0.0001
26,0.0016115843179952385,0.0017647728133934198,0.0016115843179952385,0.0017647728133934198,164.98773098790664,167.37815264953818,0.0,0.0001
27,0.0015668578892852644,0.0017360793216384474,0.0015668578892852644,0.0017360793216384474,170.09544114411577,172.06224891892245,0.0,0.0001
28,0.001525830063294975,0.001687503180756268,0.001525830063294975,0.001687503180756268,174.81071032551264,176.02086437824977,0.0,0.0001
29,0.001496434698257302,0.0016718338949163521,0.001496434698257302,0.0016718338949163521,178.94150306791116,180.78737678655415,0.0,0.0001
