epoch,train_loss,val_loss,train_recon_loss,val_recon_loss,train_kl_loss,val_kl_loss,train_age_loss,val_age_loss,train_site_loss,val_site_loss,train_age_mae,val_age_mae,train_site_acc,val_site_acc,train_age_r2,val_age_r2,current_beta,current_grl_alpha,current_lr
1,45.82435921009262,52.100058450348,0.0016819029750842196,0.0035954715254215095,101.18854122704997,108.62401887006983,2.7416965797718245,3.1415380785696483,0.9394453182891386,0.9946786667590954,2.7416965797718245,3.1415380785696483,58.291457286432156,51.83946488294314,0.004478335380554199,-0.27500247955322266,0.0,0.0,0.0001
2,46.54452171517377,52.23014573827635,0.005455261542519533,0.00739187357579685,114.30730143024694,118.3688469315851,2.7713962979053135,3.1501495088621922,0.993624395561378,0.9941019268338895,2.7713962979053135,3.1501495088621922,56.951423785594635,52.508361204013376,-0.00653684139251709,-0.3040163516998291,0.0,0.025,0.0001
3,46.32734483370629,48.3190740502399,0.00775265507088035,0.008282063566272873,120.94467710050905,122.5104122353238,2.7259589559468793,2.903340562928879,1.086041727457414,0.9521369072904555,2.7259589559468793,2.903340562928879,54.2713567839196,57.52508361204013,0.02860325574874878,-0.02759718894958496,0.0,0.05,0.0001
4,45.53086653027303,47.922103039795736,0.00880628233616376,0.00986097226959706,125.8052559985188,129.16993108640946,2.6872683394095005,2.86714856520943,1.0426069653812964,0.9810025891332722,2.6872683394095005,2.86714856520943,55.10887772194305,55.852842809364546,0.03237277269363403,0.0394170880317688,0.0,0.075,0.0001
5,46.93478951382278,49.13583749114072,0.010695264571762864,0.011982993459497208,133.14925273339352,135.94495751626516,2.7531617678190194,2.9135188649729344,1.1253337752279924,1.0842147471514034,2.7531617678190194,2.9135188649729344,53.015075376884425,51.50501672240802,0.0391198992729187,-0.04992353916168213,0.0,0.1,0.0001
6,46.357298724815074,48.68235101348979,0.013760016724105357,0.015237677593195319,141.0064230045082,144.82482945879167,2.674735862805416,2.8215032325540497,1.2444999789073439,1.2689130126831922,2.674735862805416,2.8215032325540497,50.41876046901172,47.82608695652174,0.05715954303741455,0.04453921318054199,0.0,0.125,0.0001
7,48.32588737653927,52.01983645129762,0.01608573746129596,0.01809923933899921,149.2742795193415,153.28795585504741,2.697479912184391,2.864703957452423,1.5695205705249728,1.8062356044616188,2.697479912184391,2.864703957452423,47.31993299832496,42.80936454849498,0.05751770734786987,0.03130406141281128,0.0,0.15,0.0001
8,51.54231228980187,55.94204572849848,0.019877434441417305,0.021754763727652587,157.81588397513283,160.17954981366927,2.7179975014435787,2.877140808264946,2.150494512800795,2.5526356186755126,2.7179975014435787,2.877140808264946,44.13735343383585,41.1371237458194,0.037068307399749756,0.0030840039253234863,0.0,0.17500000000000002,0.0001
9,55.3636894865052,56.29533825112027,0.0214281710367057,0.020738559472919707,162.638459146522,163.28028844112538,2.7689753824741996,2.76358416487142,2.761526138538891,2.964167687406508,2.7689753824741996,2.76358416487142,42.462311557788944,40.468227424749166,-0.013600945472717285,0.11189925670623779,0.0,0.2,0.0001
10,56.834296994872226,60.506863597244724,0.02276708678010121,0.02349629121704843,167.0520508732628,167.8055934842215,2.7018347265732348,2.8181063650443803,3.256801996598491,3.642354422189719,2.7018347265732348,2.8181063650443803,42.3785594639866,39.46488294314381,0.03302818536758423,0.023354291915893555,0.0,0.22499999999999998,0.0001
