best_train_loss,best_val_loss,best_train_recon_loss,best_val_recon_loss,final_beta,epochs,epoch_best_val_loss,epoch_best_val_recon_loss,tract_id
0.0056735924374892,0.0054018812964243,0.002517744869936,0.0024625184279196,0.001,400,8,10,0
0.0049661735066491,0.004397833489355,0.0022701679329564,0.0022116344200951,0.001,400,6,9,1
0.0035689339802992,0.0034776667076907,0.0021951412392071,0.0022011111189851,0.001,400,256,7,2
0.0044954562141642,0.0043972111322658,0.0022626015534343,0.0021621242039416,0.001,400,6,8,3
0.0049825564979995,0.0045003330982897,0.002274175445195,0.0022730644578955,0.001,400,7,10,4
0.0052597417731705,0.0050148703936599,0.0029086633581493,0.0028180700639592,0.001,400,7,9,5
0.0046615952195309,0.0042849605027773,0.0025031253039506,0.0023917907733706,0.001,400,7,7,6
0.0064232535457466,0.0062166984087124,0.0041940451242416,0.0041232469248706,0.001,400,243,11,7
0.0037482431177143,0.0037883488355472,0.0028516989126427,0.0029231987817269,0.001,400,382,382,8
0.005888888077308,0.0057614440796118,0.0031475365061275,0.0033326396854114,0.001,400,7,10,9
0.0029532568052666,0.0028670480144661,0.0021550327292183,0.0020971262997271,0.001,400,299,16,10
0.0046492644579429,0.0045819861104207,0.0019801585947536,0.0020763112456354,0.001,400,7,9,11
0.0051713567944727,0.004870868175848,0.0020132485552499,0.0020189410531862,0.001,400,8,10,12
0.0060250389107332,0.0057022131412573,0.0032458401720353,0.0031603114900605,0.001,400,6,9,13
0.0051531897151103,0.0050608578097561,0.0029415833284856,0.0030951739481983,0.001,400,7,9,14
0.0057195605572868,0.0055151552578627,0.003405951281738,0.0032139904018379,0.001,400,6,9,15
0.0062892273492749,0.0060449336206908,0.0033039847541743,0.0035045231555442,0.001,400,7,8,16
0.0042709641281821,0.0041046736459792,0.0019592320758278,0.0019932735795435,0.001,400,7,9,17
0.0040695446881136,0.0039550307865587,0.0020126907289078,0.0019729393962646,0.001,400,7,8,18
0.0051832299287956,0.0048493443735965,0.0027856620124555,0.0027575914835227,0.001,400,7,10,19
0.0030573710909977,0.0031738806512817,0.0022190351447112,0.0023590241680326,0.001,400,223,223,20
0.0058118947703622,0.0057203413600905,0.0030664677546052,0.0033651894771409,0.001,400,7,9,21
0.002286651608935,0.0023507984467224,0.0017244704951059,0.0016181961365392,0.001,400,16,16,22
0.0043712970270296,0.0043353072965648,0.0017887301954801,0.0019294567142198,0.001,400,7,8,23
9.311718631929816e-07,8.71879401841224e-07,9.306333073145104e-07,8.713205489055381e-07,0.001,400,399,399,24
2.9355986065139022e-06,2.905988611377915e-06,2.934802661920958e-06,2.9051675270135354e-06,0.001,400,400,400,25
2.688150466608085e-07,2.526075046143492e-07,2.6845767194360786e-07,2.522786851128075e-07,0.001,400,385,385,26
1.6588175733138592e-06,1.6136420342862824e-06,1.6581857252927188e-06,1.6130153878740784e-06,0.001,400,400,400,27
3.867177718049508e-07,3.776942612816232e-07,3.8630266721624354e-07,3.772707519559096e-07,0.001,400,400,400,28
1.0877737719007565e-06,1.1010212644508172e-06,1.0872342916740266e-06,1.1005145306565385e-06,0.001,400,399,399,29
4.8554291075748584e-08,3.8504626246264215e-08,4.8206821853918546e-08,3.813423970951288e-08,0.001,400,168,168,30
1.466017725439983e-07,1.3533207009285765e-07,1.4621461732637959e-07,1.3496178616893353e-07,0.001,400,396,396,31
6.51865859917299e-08,6.379844604151818e-08,6.49273015087708e-08,6.351657043505016e-08,0.001,400,398,398,32
1.0386885778131517e-07,1.0138085675604593e-07,1.0356541745912541e-07,1.0108014150104478e-07,0.001,400,396,396,33
1.176115838187336e-05,1.1278946208237104e-05,1.1755886659604518e-05,1.1273303967742888e-05,0.001,400,400,400,34
4.690729931260243e-06,4.686563043106315e-06,4.688780157432647e-06,4.684750614840133e-06,0.001,400,397,397,35
9.244810448770636e-07,8.578383224487706e-07,9.239436020631928e-07,8.572915999747143e-07,0.001,400,399,399,36
2.937609979183662e-06,2.9099927264404713e-06,2.9367999987413683e-06,2.909181145383189e-06,0.001,400,400,400,37
2.6687362148422196e-07,2.5472349631876033e-07,2.6652587715619316e-07,2.54384207932448e-07,0.001,400,385,385,38
1.663611375350372e-06,1.6213747110906178e-06,1.6629732974047825e-06,1.6207453107193315e-06,0.001,400,400,400,39
3.963065295994274e-07,3.872982932058757e-07,3.958944673714256e-07,3.868870305951383e-07,0.001,400,400,400,40
1.054004212676604e-06,1.0762249495690833e-06,1.0534679156813304e-06,1.0756994604883686e-06,0.001,400,399,399,41
3.1730278360863084e-08,2.069300888500412e-08,3.1462232273024813e-08,2.0368074566978832e-08,0.001,400,168,168,42
9.892574670991038e-08,9.238739669984909e-08,9.855798471484899e-08,9.20072439551885e-08,0.001,400,396,396,43
6.439771329852303e-08,6.722022325760595e-08,6.413026694088886e-08,6.698280208012759e-08,0.001,400,398,398,44
1.12491967824193e-07,1.1371207258746662e-07,1.1212582886584501e-07,1.1344125965611497e-07,0.001,400,396,396,45
1.1770003077691463e-05,1.1290388710127735e-05,1.1764669194430466e-05,1.1284646178831472e-05,0.001,400,400,400,46
4.630330294423838e-06,4.6343873928771755e-06,4.628364967779809e-06,4.632641763802961e-06,0.001,400,397,397,47
