best_train_loss,best_val_loss,best_train_age_mae,best_val_age_mae,best_train_site_acc,best_val_site_acc,best_train_age_r2,best_val_age_r2,final_beta,final_grl_alpha,epochs,epoch_best_val_loss,epoch_best_val_age_mae,epoch_best_val_site_acc,tract_id
53.16877560000523,57.14891207895949,2.2979012332369932,2.4084120857277043,46.81742043551089,46.82274247491639,0.2611173391342163,0.2788771390914917,0.001,2.5,800,2,83,3,0
52.684608798130874,52.33477636484,2.183117973145528,2.404131673251506,42.79731993299832,46.48829431438127,0.341836154460907,0.3241236805915832,0.001,2.5,800,3,68,2,1
54.440312058082974,53.30479835586803,2.01059999418019,2.380239561648672,49.413735343383586,58.52842809364549,0.4120740294456482,0.29117351770401,0.001,2.5,800,4,402,7,2
54.43250362837135,69.91896850688003,2.2912373998057305,2.584697044812716,46.31490787269682,45.81939799331104,0.2759760022163391,0.255411684513092,0.001,2.5,800,3,78,6,3
53.68600442141943,60.703805100558995,2.3199827363542975,2.5977428517612724,46.39865996649916,40.13377926421405,0.2482382655143737,0.1982491016387939,0.001,2.5,800,2,453,1,4
55.01968063022224,57.17250308543942,2.3218837491231947,2.634485845980437,48.65996649916248,45.81939799331104,0.2400996685028076,0.1235461831092834,0.001,2.5,800,1,441,3,5
51.334037512391056,53.15329418373746,2.2989195711049604,2.720799585648604,45.39363484087102,48.82943143812709,0.2612534165382385,0.0995442867279052,0.001,2.5,800,2,105,2,6
54.28803398221781,60.70145930414615,2.183873974897554,2.453377836922738,50.083752093802346,45.81939799331104,0.3455426096916199,0.2536135911941528,0.001,2.5,800,1,482,4,7
48.726896468119406,49.62294556225422,2.0448770547032957,2.473240027858262,57.95644891122278,54.84949832775919,0.403542160987854,0.2546040415763855,0.001,2.5,800,11,448,12,8
53.15516270265308,52.00671231068895,2.4393585455078175,2.618701219558716,48.57621440536013,53.17725752508361,0.1974601745605468,0.1907418370246887,0.001,2.5,800,4,450,4,9
54.038548212354904,55.749012210297344,1.9909883404097568,2.504181430491317,48.743718592964825,46.15384615384615,0.4114872217178345,0.2086713314056396,0.001,2.5,800,1,85,1,10
51.9715652274127,52.82646143476301,2.1991000862377175,2.6070264733355977,45.97989949748744,47.491638795986624,0.3128624558448791,0.1890683770179748,0.001,2.5,800,3,417,1,11
53.32583236694336,53.76748024420595,2.262153516063339,2.503941776760446,48.24120603015075,43.812709030100336,0.2826991677284241,0.2477869987487793,0.001,2.5,800,2,94,1,12
54.40997199437127,55.40212168103477,2.1373988807301227,2.359733080784214,44.55611390284757,46.15384615384615,0.3547490835189819,0.3100460171699524,0.001,2.5,800,4,434,19,13
51.449323024781705,51.30625056901504,2.240734515277984,2.5939854467194214,43.71859296482412,46.82274247491639,0.2854824662208557,0.2250354290008545,0.001,2.5,800,3,65,6,14
50.58314803617085,50.890212310995146,2.619055468433067,2.80253840848355,44.388609715242886,49.49832775919732,0.0737186074256897,0.0769620537757873,0.001,2.5,800,4,443,4,15
52.89090013104667,53.38927999388015,2.32062725805158,2.6275070168102865,56.867671691792296,46.15384615384615,0.2393942475318908,0.164547324180603,0.001,2.5,800,4,470,47,16
53.235154706229714,54.41081911425128,2.1220500357386656,2.3774695069494856,43.80234505862647,45.48494983277592,0.3499215245246887,0.321835458278656,0.001,2.5,800,3,76,1,17
48.859277862599946,50.73177333819029,2.0700748453986906,2.3810229979231208,42.71356783919598,49.83277591973244,0.3984532952308655,0.3349782824516296,0.001,2.5,800,3,428,4,18
51.817374671923254,53.37799229191298,2.1572167130570916,2.3896821254870564,41.79229480737018,44.14715719063545,0.3632262349128723,0.2739524245262146,0.001,2.5,800,5,390,2,19
47.47415747075424,48.31834530272213,2.282409046562872,2.5037952625631887,45.97989949748744,48.82943143812709,0.260786235332489,0.2443028688430786,0.001,2.5,800,5,413,4,20
51.24535435048779,51.4592296128289,2.740286019179889,2.859692322370599,43.63484087102177,45.81939799331104,-0.0101363658905029,0.0289693474769592,0.001,2.5,800,3,446,3,21
50.84699208373001,50.739304379874646,2.523061952399249,2.7628326224642854,50.083752093802346,45.81939799331104,0.1235290169715881,0.1232914328575134,0.001,2.5,800,3,408,5,22
50.334913538129285,51.78125307472254,2.6040182924350503,2.8098175118998143,46.90117252931323,48.16053511705686,0.0681830048561096,0.0704880952835083,0.001,2.5,800,2,90,2,23
58.35088946471861,60.37599914448716,2.800496218392198,2.919686671483477,40.95477386934673,45.81939799331104,-0.0460125207901001,-0.009752869606018,0.001,2.5,800,4,771,5,24
54.32190040447803,56.290513156648466,2.811381245777635,2.9200278532544903,42.79731993299832,45.81939799331104,-0.0524806976318359,-0.0065135955810546,0.001,2.5,800,3,46,5,25
54.60483958693206,55.11721055404,2.8026847635681307,2.9216563286988633,41.70854271356784,47.491638795986624,-0.0369461774826049,-0.0655683279037475,0.001,2.5,800,4,22,3,26
53.49348576224629,53.07684078663089,2.794260574145932,2.9210295613394135,41.12227805695142,45.81939799331104,-0.0321748256683349,-0.0025572776794433,0.001,2.5,800,4,40,6,27
53.771877825559685,56.8273672531281,2.8027914660659867,2.917967200677929,41.03852596314909,46.48829431438127,-0.0361433029174804,0.0052831768989562,0.001,2.5,800,1,48,3,28
64.55203331415377,65.00439260476409,2.802112203946266,2.9156292569278475,41.45728643216081,49.49832775919732,-0.0530993938446044,-0.0042659044265747,0.001,2.5,800,2,8,1,29
