tract_id,age_best_val_mae,age_best_val_r2,age_epochs,site_best_val_acc,site_best_val_loss,site_epochs,vae_best_val_loss,vae_best_val_recon_loss,vae_final_beta,vae_epochs,combined_best_val_age_mae,combined_best_val_site_acc,combined_best_val_loss,combined_final_beta,combined_final_grl_alpha,combined_epochs
0,2.484725024787877,0.2735950350761413,800,71.57190635451505,0.7410844522575072,400,0.0054018812964243,0.0024625184279196,0.001,400,2.4084120857277043,46.82274247491639,57.14891207895949,0.001,2.5,800
1,2.441151067963412,0.2982349991798401,800,60.86956521739131,0.913132656976132,400,0.004397833489355,0.0022116344200951,0.001,400,2.404131673251506,46.48829431438127,52.33477636484,0.001,2.5,800
2,2.4242270822110386,0.2580356001853943,800,77.92642140468227,0.6497893102192959,400,0.0034776667076907,0.0022011111189851,0.001,400,2.380239561648672,58.52842809364549,53.30479835586803,0.001,2.5,800
3,2.5818482992242413,0.247082769870758,800,78.59531772575251,0.5871699988642664,400,0.0043972111322658,0.0021621242039416,0.001,400,2.584697044812716,45.81939799331104,69.91896850688003,0.001,2.5,800
4,2.582098241633795,0.2022047638893127,800,74.5819397993311,0.67090308088124,400,0.0045003330982897,0.0022730644578955,0.001,400,2.5977428517612724,40.13377926421405,60.703805100558995,0.001,2.5,800
5,2.5226202178559576,0.2463271617889404,800,75.58528428093646,0.6294091866167891,400,0.0050148703936599,0.0028180700639592,0.001,400,2.634485845980437,45.81939799331104,57.17250308543942,0.001,2.5,800
6,2.7613751090888594,0.1374415755271911,800,74.91638795986621,0.6532874059517647,400,0.0042849605027773,0.0023917907733706,0.001,400,2.720799585648604,48.82943143812709,53.15329418373746,0.001,2.5,800
7,2.4834978975181197,0.2334719896316528,800,88.2943143812709,0.3725980782887608,400,0.0062166984087124,0.0041232469248706,0.001,400,2.453377836922738,45.81939799331104,60.70145930414615,0.001,2.5,800
8,2.374178676302218,0.2967291474342346,800,87.29096989966555,0.383187291016148,400,0.0037883488355472,0.0029231987817269,0.001,400,2.473240027858262,54.84949832775919,49.62294556225422,0.001,2.5,800
9,2.375512843147966,0.3204755783081054,800,77.25752508361204,0.609657662768029,400,0.0057614440796118,0.0033326396854114,0.001,400,2.618701219558716,53.17725752508361,52.00671231068895,0.001,2.5,800
10,2.5265543125943597,0.2516635656356811,800,80.2675585284281,0.5545889729241463,400,0.0028670480144661,0.0020971262997271,0.001,400,2.504181430491317,46.15384615384615,55.749012210297344,0.001,2.5,800
11,2.5606330374012822,0.2289446592330932,800,77.25752508361204,0.6508443317684441,400,0.0045819861104207,0.0020763112456354,0.001,400,2.6070264733355977,47.491638795986624,52.82646143476301,0.001,2.5,800
