best_train_acc,best_val_acc,best_train_loss,best_val_loss,epochs,epoch_best_val_acc,epoch_best_val_loss,tract_id
82.91457286432161,71.57190635451505,0.4531574059071852,0.7410844522575072,400,37,22,0
81.15577889447236,60.86956521739131,0.4827653993314235,0.913132656976132,400,35,24,1
87.52093802345058,77.92642140468227,0.3424325733128904,0.6497893102192959,400,17,10,2
88.44221105527639,78.59531772575251,0.3126275660704128,0.5871699988642664,400,15,25,3
80.73701842546063,74.5819397993311,0.4976944550996649,0.67090308088124,400,46,48,4
89.61474036850922,75.58528428093646,0.2934422672194252,0.6294091866167891,400,44,24,5
87.1859296482412,74.91638795986621,0.335112530981476,0.6532874059517647,400,26,22,6
95.81239530988276,88.2943143812709,0.1282558578692089,0.3725980782887608,400,21,18,7
94.9748743718593,87.29096989966555,0.1517666289754449,0.383187291016148,400,75,11,8
90.61976549413735,77.25752508361204,0.2666661364449129,0.609657662768029,400,20,22,9
91.95979899497488,80.2675585284281,0.2499474032190776,0.5545889729241463,400,33,33,10
84.08710217755444,77.25752508361204,0.4411222643688496,0.6508443317684441,400,55,48,11
88.35845896147404,80.60200668896321,0.3302226804408995,0.592710426818567,400,22,52,12
85.76214405360135,78.26086956521739,0.3604598361343594,0.5544718583690682,400,19,19,13
80.4857621440536,69.89966555183946,0.5045008087278011,0.7799624710976081,400,43,24,14
79.89949748743719,72.24080267558529,0.5283260368422248,0.7449430805384913,400,21,28,15
84.25460636515912,78.26086956521739,0.4284477977696775,0.6205153999519986,400,23,15,16
81.23953098827471,69.23076923076923,0.4804826320914966,0.7832685310306358,400,18,17,17
80.98827470686767,67.55852842809364,0.4735172522227768,0.7958645922284461,400,53,31,18
88.2747068676717,83.27759197324414,0.3237385114832739,0.5098537582418193,400,53,19,19
82.32830820770519,79.59866220735786,0.4477371511048009,0.5862979874961751,400,30,29,20
86.01340033500837,76.92307692307693,0.3787427304477947,0.6521273259335139,400,22,26,21
83.24958123953098,72.90969899665552,0.4524716593112977,0.7727945151935054,400,37,23,22
79.89949748743719,71.23745819397993,0.5134118905219202,0.7344428560008174,400,45,16,23
87.1859296482412,83.94648829431438,0.3467615057076241,0.4761941209684646,400,106,130,24
86.09715242881072,75.58528428093646,0.3748735765516259,0.623437200501611,400,96,106,25
92.3785594639866,85.95317725752508,0.2354807495272139,0.4472259877118777,400,96,106,26
92.21105527638191,85.28428093645485,0.2210005974549943,0.4079301546648593,400,153,123,27
86.59966499162479,85.28428093645485,0.3732604486508984,0.4383630550226638,400,127,138,28
93.55108877721943,84.94983277591973,0.2063664170465677,0.449498074708575,400,101,110,29
89.19597989949749,80.60200668896321,0.2880897004051224,0.5342627070021868,400,78,68,30
93.2998324958124,84.61538461538461,0.1820146683073123,0.4397922559924748,400,110,90,31
91.54103852596316,84.94983277591973,0.2272545650127145,0.4248575447594441,400,124,124,32
86.59966499162479,79.59866220735786,0.3382244750582792,0.5650815718548753,400,109,108,33
88.52596314907872,79.59866220735786,0.3114909427349691,0.5497641417892482,400,140,128,34
85.17587939698493,74.24749163879598,0.3926883773687896,0.6368074014434049,400,100,108,35
84.08710217755444,76.92307692307693,0.4179755649474797,0.6651526671588222,400,148,120,36
87.68844221105527,81.93979933110369,0.3104370227411164,0.5124729609609049,400,165,134,37
84.7571189279732,80.60200668896321,0.4276007222170805,0.5810657643952896,400,115,115,38
82.49581239530988,76.2541806020067,0.4671092530590805,0.6514318916311232,400,132,114,39
91.03852596314908,86.95652173913044,0.2592630414307816,0.4807428002955523,400,93,95,40
79.64824120603015,74.5819397993311,0.4679177104927587,0.6940082267773988,400,103,103,41
79.64824120603015,76.2541806020067,0.5025044050647984,0.6334199811702588,400,150,156,42
83.66834170854271,78.59531772575251,0.406995029006172,0.589264308728502,400,117,155,43
88.2747068676717,82.2742474916388,0.3137118077308089,0.6233906563508471,400,81,81,44
91.12227805695142,82.6086956521739,0.2487471109159428,0.4761686867296097,400,97,101,45
79.14572864321609,71.57190635451505,0.5488591247068179,0.7420795436288202,400,135,102,46
81.49078726968175,78.26086956521739,0.5238610128162294,0.5905096034541177,400,154,148,47
