best_train_mae,best_val_mae,best_train_r2,best_val_r2,epochs,epoch_best_val_mae,epoch_best_val_r2,tract_id
2.0452920655709015,2.484725024787877,0.3824818730354309,0.2735950350761413,800,17,17,0
2.0538925757160538,2.441151067963412,0.4080209136009216,0.2982349991798401,800,16,16,1
1.9201494471311968,2.4242270822110386,0.4470106959342956,0.2580356001853943,800,49,35,2
2.1976963671008547,2.5818482992242413,0.3227860927581787,0.247082769870758,800,32,26,3
2.215015191728346,2.582098241633795,0.3133795261383056,0.2022047638893127,800,33,33,4
1.9955513844737656,2.5226202178559576,0.40655118227005,0.2463271617889404,800,30,45,5
2.0643655790555817,2.7613751090888594,0.3677346110343933,0.1374415755271911,800,14,16,6
1.8960701145319083,2.4834978975181197,0.479739248752594,0.2334719896316528,800,30,23,7
1.7292754326633473,2.374178676302218,0.5445459485054016,0.2967291474342346,800,25,24,8
1.7906785634294826,2.375512843147966,0.5216931104660034,0.3204755783081054,800,55,34,9
1.9296650337414127,2.5265543125943597,0.4247022271156311,0.2516635656356811,800,22,29,10
2.1360655162402336,2.5606330374012822,0.3612154126167297,0.2289446592330932,800,21,28,11
2.0260424458201807,2.5281458937603496,0.4014040827751159,0.2496848702430725,800,38,38,12
1.931055193969752,2.2413281198329353,0.4538493156433105,0.3609042167663574,800,40,39,13
2.0894631736442273,2.670683143928298,0.3649687767028808,0.138634443283081,800,21,14,14
2.238831906662115,2.8241037580879236,0.2586432099342346,0.0686078667640686,800,45,11,15
2.0168229948535834,2.619325566052593,0.3862609267234802,0.1697954535484314,800,25,16,16
2.0445286408940353,2.3743890990381655,0.3888420462608337,0.3301455974578857,800,13,16,17
2.0036667479542234,2.428307152910775,0.4377771615982055,0.3183537125587463,800,20,20,18
2.127045188117866,2.450633546580439,0.3818978667259216,0.2737888693809509,800,70,83,19
2.1450226866020827,2.4419656669017065,0.3406945466995239,0.2882948517799377,800,15,15,20
2.2800699977619163,2.838483431666192,0.2406633496284485,0.0592820048332214,800,38,32,21
2.260849588480427,2.7420507761148305,0.2769898176193237,0.1402742266654968,800,12,12,22
2.2799664098813106,2.742577184402823,0.2711889743804931,0.1327419281005859,800,20,21,23
2.0851644375416103,2.1748078977782592,0.3718588948249817,0.4258472919464111,800,120,123,24
2.10303310613137,2.3226704294466254,0.3651561737060547,0.3617737889289856,800,98,123,25
2.0867495161404763,2.1882384931762084,0.3723906278610229,0.4192432165145874,800,104,104,26
2.0738831888291505,2.4160299380886117,0.403379738330841,0.3210001587867737,800,132,132,27
2.1416437482115014,2.278148473305846,0.3352862000465393,0.3573729395866394,800,104,104,28
2.142140184015884,2.2848578639652417,0.3266613483428955,0.3302652835845947,800,254,147,29
2.210015828485665,2.5221836558951183,0.3063896894454956,0.194130003452301,800,134,113,30
1.95982672022016,2.1768195557355083,0.4533843398094177,0.4205712080001831,800,151,146,31
1.9071842104545988,2.3059340408414504,0.4784389734268188,0.3702248334884643,800,124,133,32
2.0498017480025936,2.3689607967899793,0.3733605146408081,0.3423073291778564,800,176,177,33
2.172698199050111,2.4520261295663075,0.327883243560791,0.2476572394371032,800,135,119,34
2.2004255729304685,2.3866631570069687,0.3299018144607544,0.3303465843200683,800,210,172,35
2.2463117292777977,2.438042808934598,0.2882801294326782,0.3155477643013,800,155,100,36
1.9637221521268935,2.1701026245901818,0.4506139159202575,0.4092455506324768,800,132,134,37
2.3086108522399185,2.5844713628890124,0.2501206398010254,0.1811006665229797,800,147,158,38
2.2069818448381406,2.56645247449843,0.3062601685523987,0.1784064173698425,800,159,161,39
2.1982798476514707,2.444850804415036,0.3132615685462951,0.2609337568283081,800,149,121,40
2.152658281014792,2.216507571198071,0.3359045386314392,0.400855541229248,800,91,131,41
2.08294941811905,2.1518915871712676,0.3875552415847778,0.4415504932403564,800,160,126,42
2.113561970504684,2.3550637422198037,0.3870798945426941,0.324205994606018,800,100,85,43
2.0779224368595397,2.297674211769997,0.3853228092193603,0.3571934700012207,800,137,134,44
2.1697763671827075,2.6460181829522686,0.3166514635086059,0.1641034483909607,800,105,105,45
2.2934017061588152,2.4818514254579576,0.257811963558197,0.2257222533226013,800,150,97,46
2.4350450126769356,2.5163016526595405,0.1816566586494445,0.2211548686027526,800,79,87,47
