epoch,train_loss,val_loss,train_recon_loss,val_recon_loss,train_kl_loss,val_kl_loss,train_age_loss,val_age_loss,train_site_loss,val_site_loss,train_age_mae,val_age_mae,train_site_acc,val_site_acc,current_beta,current_grl_alpha,current_lr
1,17.342561666423684,14.692844424890966,0.04373606849963075,0.019731415263320024,10.048269369278055,0.7677929782814272,2.9962434774001574,2.5054772338739606,1.158804083789014,1.0728634027068564,2.9962434774001574,2.5054772338739606,41.16589893914014,44.36315496098105,0.0,0.0,0.001
2,16.731122884319056,14.606350384162553,0.02041877855690813,0.017638961431531937,5.978786119198014,7.6327968005219695,2.8832905498847556,2.495268787162891,1.1471256862999273,1.0561836959924984,2.8832905498847556,2.495268787162891,41.42762423227248,43.1298773690078,0.0,0.0125,0.001
3,16.602990944381535,14.482969986820965,0.01967186110935552,0.017929771898465945,27.564088423114992,56.184913490661145,2.8694957038798456,2.4750389676694753,1.1179202251897584,1.0449227328550323,2.8694957038798456,2.4750389676694753,46.27652149637074,52.11817168338907,0.0,0.025,0.001
4,16.55838208169261,14.823392808503796,0.014069347643922122,0.012790520071210868,23.173028279256048,22.08991369887472,2.865104292971272,2.5463414046012174,1.1093956120249813,1.03944766986596,2.865104292971272,2.5463414046012174,48.19409547738693,52.257525083612045,0.0,0.0375,0.001
5,16.49220735516913,14.461214310083633,0.015677886764403997,0.013237409074577931,29.929795570309636,21.294636803991686,2.8501458113450435,2.478184401125148,1.1129002223661797,1.0285274607680712,2.8501458113450435,2.478184401125148,48.108598548297046,51.8046265328874,0.0,0.05,0.001
6,16.383085120929014,14.310034738070723,0.014964431967317959,0.013703918437511892,51.3790990594111,57.87438843215721,2.8266126937802314,2.4462832171249813,1.1175286235388666,1.0324573607880667,2.8266126937802314,2.4462832171249813,47.16115298715801,50.843088071348944,0.0,0.0625,0.001
7,16.314342548832556,14.209750983494446,0.01365768153892257,0.01323283255233148,73.83409479035804,88.98817704114627,2.8119237082154975,2.4272671920665796,1.12053317287526,1.0300910635669627,2.8119237082154975,2.4272671920665796,46.095058626465665,49.72129319955407,0.0,0.075,0.001
8,16.257299305006885,14.448041756416245,0.013685485807786701,0.01325884409178227,82.80132645138943,90.53603083207588,2.8012190759681177,2.4734271756781383,1.118759218039691,1.0338235553956219,2.8012190759681177,2.4734271756781383,46.18404522613066,49.54710144927536,0.0,0.08750000000000001,0.001
9,16.20282466394285,14.411208624823836,0.013417587279108634,0.015183542186442094,92.30570157049489,113.91969645488489,2.788782416609397,2.4607588201595125,1.1227474932162074,1.0461154540911433,2.788782416609397,2.4607588201595125,45.3500139586823,49.44258639910814,0.0,0.1,0.001
10,16.221918357410356,14.132530824795216,0.013307086204551472,0.013355410369185767,97.7482809368157,76.3936432207973,2.793160491386384,2.413196635485493,1.121404388308991,1.0265961223621431,2.793160491386384,2.413196635485493,45.72515354550531,51.67920847268673,0.0,0.11249999999999999,0.001
11,16.173345144603054,14.130998669925209,0.012738561503160672,0.011760893568537772,95.9143284681055,99.77888364589866,2.7855551379942347,2.4131366221801094,1.1164154306195555,1.0267773167611232,2.7855551379942347,2.4131366221801094,46.69702680067002,51.10089186176142,0.0,0.125,0.001
12,16.176170364030575,14.270293783317575,0.013116010203687157,0.012014654876172143,99.32531557663535,95.05728229365354,2.785622062661806,2.4387237831634554,1.1174720000581726,1.032330138095911,2.785622062661806,2.4387237831634554,46.20498324958124,52.72435897435898,0.0,0.1375,0.001
13,16.14600742708565,14.382927124848466,0.013770389943661835,0.011821208085652976,110.95732404665199,108.6039284118176,2.7808469597152463,2.464349662181127,1.1140011051791396,1.0246788016131092,2.7808469597152463,2.464349662181127,46.48415689558906,50.94063545150501,0.0,0.15,0.001
