epoch,train_loss,val_loss,train_recon_loss,val_recon_loss,train_kl_loss,val_kl_loss,train_age_loss,val_age_loss,train_site_loss,val_site_loss,train_age_mae,val_age_mae,train_site_acc,val_site_acc,current_beta,current_grl_alpha,current_lr
1,18.47005223455807,15.551640861409165,0.10198956347964516,0.05582896825611392,21.50631859368166,42.59014189176868,2.9972734527172555,2.502046934338318,1.1272318113589008,0.9951923779952221,2.9972734527172555,2.502046934338318,43.93844221105528,52.06939799331104,0.0,0.0,0.001
2,17.710854978151392,15.56292354728333,0.041978973493870246,0.0355188513284709,56.97489634843461,62.183784233952316,2.8795047406708307,2.4916306831100448,1.0904507767814688,1.0230837507524353,2.8795047406708307,2.4916306831100448,48.44535175879397,51.010312151616496,0.0,0.0125,0.001
3,17.617007871635263,15.439525055646099,0.02573093501949763,0.023239867946542092,79.39436932877413,93.46199322278417,2.858641853950198,2.4770839384434082,1.0993558806057817,1.0102884726247925,2.858641853950198,2.4770839384434082,48.35810999441652,51.191471571906355,0.0,0.025,0.001
4,17.602666646125662,15.563431415536598,0.019987291867035118,0.01691965073546438,103.55278566787524,103.85269329194374,2.8472730120355894,2.4846154561675378,1.1154380902972454,1.0411448284668003,2.8472730120355894,2.4846154561675378,46.149148520379676,49.71432552954292,0.0,0.0375,0.001
5,17.53711190322203,18.0838200155575,0.018203803047429645,0.04649589095293745,96.89707787884872,107.61525900680219,2.8307637449484973,2.973697747939672,1.1216964582568902,1.0562784819964448,2.8307637449484973,2.973697747939672,44.713149078726964,41.84782608695652,0.0,0.05,0.001
6,17.534798360682945,15.379363613915416,0.021018316159113235,0.018616116837231876,87.03159573808986,96.49834560364518,2.8272781087192724,2.440373392009416,1.125796510745932,1.0529601686242698,2.8272781087192724,2.440373392009416,44.21936069235064,48.48801560758083,0.0,0.0625,0.001
7,17.509892555803376,15.903196247657938,0.017432606076516963,0.015921778055977328,97.00589111941544,93.00850149301382,2.8203129885517506,2.538820063390062,1.1302983528538697,1.0643913907350904,2.8203129885517506,2.538820063390062,43.10964544946957,43.79180602006689,0.0,0.075,0.001
8,17.478419227749193,15.402473037192388,0.019302146264889065,0.0204986721659318,86.36903980282815,103.37274762752197,2.8166352563034818,2.4405478431761196,1.1253135869917026,1.0597450048761357,2.8166352563034818,2.4405478431761196,44.27694025683975,46.9829988851728,0.0,0.08750000000000001,0.001
9,17.416552281126773,15.530597153050179,0.01633994348736148,0.0144645123625197,94.61523647510693,86.5681193850378,2.806234115864697,2.4773934155935162,1.1230139140640805,1.043055187964785,2.806234115864697,2.4773934155935162,44.02568397543271,48.014214046822744,0.0,0.1,0.001
10,17.409040979271424,15.720409067976833,0.015073456885194327,0.013472504164180495,106.5467693769752,110.3851310534355,2.8053122393449947,2.5080937791694633,1.1224687739100156,1.0554891876552417,2.8053122393449947,2.5080937791694633,44.76898380792853,46.10507246376812,0.0,0.11249999999999999,0.001
