epoch,train_loss,val_loss,train_recon_loss,val_recon_loss,train_kl_loss,val_kl_loss,train_age_loss,val_age_loss,train_site_loss,val_site_loss,train_age_mae,val_age_mae,train_site_acc,val_site_acc,current_beta,current_grl_alpha,current_lr
1,19.546955486704423,18.936462047240937,0.050771966765856755,0.01543047715397915,29.99546810383906,51.63563277330686,3.0240874498134085,3.074194133348157,0.6822157918175528,0.6513763785760937,3.0240874498134085,3.074194133348157,60.76912339475153,66.541248606466,0.0,0.0,0.001
2,17.645540450419347,18.34401600602744,0.011078623454707883,0.008960349913561922,68.79526391127867,93.638428908128,2.8184358688921054,2.988490713612823,0.666357724277884,0.6444710640604281,2.8184358688921054,2.988490713612823,62.28713009491904,66.5551839464883,0.0,0.0125,0.001
3,17.441672624921345,18.33809198743125,0.007508535344998125,0.007967537772035021,96.35971516620374,106.82242749234373,2.7963487926240345,2.986768986203333,0.6619516013055989,0.6489792793092122,2.7963487926240345,2.986768986203333,63.15256839754328,66.5551839464883,0.0,0.025,0.001
4,17.275595143678665,18.365591361769866,0.0071109059827827595,0.007061559634767016,116.69548320504023,98.67557809717015,2.7667205550695915,3.002744635079085,0.6599548579859773,0.6421273961380839,2.7667205550695915,3.002744635079085,63.23283082077052,66.5551839464883,0.0,0.0375,0.001
5,17.08862739192381,19.503811373758477,0.0071111441138010665,0.005710195192969596,118.33870259534707,132.46087663495288,2.7307498944930564,3.241607498032858,0.6585309935441435,0.6363139921008145,2.7307498944930564,3.241607498032858,63.23283082077052,66.5551839464883,0.0,0.05,0.001
6,16.95230443540197,18.005649426310356,0.0052909622660987305,0.0064993464064015,137.86632689066536,125.34057978669404,2.71004145202658,2.9369343706596656,0.6592555800208427,0.638198129940724,2.71004145202658,2.9369343706596656,63.23283082077052,66.5551839464883,0.0,0.0625,0.001
7,16.811886537680742,17.596100351084832,0.004511224121424213,0.003814641601710249,132.76707600775143,138.9213976397562,2.685709515874576,2.86596374793462,0.6586228865008991,0.637997757099411,2.685709515874576,2.86596374793462,63.23283082077052,66.5551839464883,0.0,0.075,0.001
8,16.724163391948213,17.53617472738991,0.003624382982496432,0.002943472463041627,170.82551803035088,175.37502565245697,2.6728412424765904,2.8594645807974315,0.6574938917945444,0.6359964770284651,2.6728412424765904,2.8594645807974315,63.23283082077052,66.5551839464883,0.0,0.08750000000000001,0.001
9,16.67377668302995,17.480652522083908,0.0037252168082187523,0.0038830292618282163,168.3734060997806,148.75097875690778,2.6616551999870057,2.8480043641168007,0.6581992699339828,0.6325940482127361,2.6616551999870057,2.8480043641168007,63.23283082077052,66.5551839464883,0.0,0.1,0.001
10,16.676918360988633,17.459852179290195,0.003700350796427351,0.0026807805407509924,148.55236414276243,162.00425636861368,2.663757796396695,2.8466822856511826,0.6568244881699167,0.6345650577624905,2.663757796396695,2.8466822856511826,63.23283082077052,66.5551839464883,0.0,0.11249999999999999,0.001
11,16.670327438448208,17.56551318875656,0.00321777314436479,0.002816412217630574,156.19741017029048,150.7203395167322,2.6645051224280976,2.863273586849438,0.6566892602069627,0.6385634149463147,2.6645051224280976,2.863273586849438,63.23283082077052,66.5551839464883,0.0,0.125,0.001
12,16.61741084828848,17.717024306655595,0.0030435379487964145,0.002433888678550056,166.49072826221493,158.6121172442484,2.6548260376481356,2.8896262199184966,0.6564819841062737,0.644043063506102,2.6548260376481356,2.8896262199184966,63.23283082077052,66.5551839464883,0.0,0.1375,0.001
13,16.59325160479692,18.034043096246794,0.0028877373283499115,0.005094511996136528,170.69255077845554,167.78390618603896,2.6498869747372726,2.953178696940708,0.6572123992250061,0.6332518981983564,2.6498869747372726,2.953178696940708,63.23283082077052,66.5551839464883,0.0,0.15,0.001
14,16.597521500238688,18.473159494474448,0.0028916976020979786,0.004149447557066828,153.67727276894183,151.15386615868,2.651324603625478,3.0357759485276645,0.6566128999677069,0.6422581750413646,2.651324603625478,3.0357759485276645,63.23283082077052,66.5551839464883,0.0,0.1625,0.001
15,16.5366663237912,17.479457987059185,0.0027895178924049998,0.0026425647992150674,161.180738669544,166.02555294313294,2.639777124693512,2.843638724440848,0.6563980854602581,0.641682598636036,2.639777124693512,2.843638724440848,63.23283082077052,66.5551839464883,0.0,0.17500000000000002,0.001
16,16.52207539961499,17.42005258154045,0.00282813186197225,0.0023585510945805205,158.9046839677309,138.98012193150345,2.6364495264358987,2.841898889977531,0.6566530223467841,0.6326774071357987,2.6364495264358987,2.841898889977531,63.23283082077052,66.5551839464883,0.0,0.1875,0.001
17,16.48460897874859,17.398245888011513,0.0028145334688948684,0.0019180401928677174,143.86658588113363,156.82460249918893,2.628913297525403,2.838145568086418,0.6567503412564596,0.6338314275810684,2.628913297525403,2.838145568086418,63.23283082077052,66.5551839464883,0.0,0.2,0.001
18,16.44993187740886,17.7356046327912,0.0025475937081422886,0.0023239760885716996,149.35675274600268,149.1265428217757,2.623456949364999,2.904058518882845,0.6563390628842919,0.6337664841675307,2.623456949364999,2.904058518882845,63.23283082077052,66.5551839464883,0.0,0.21250000000000002,0.001
