epoch,train_mae,val_mae,train_r2,val_r2
1,5.833518820591708,8.477122458327175,-3.0719399452209473,-5.358728408813477
2,3.6069959599768096,6.9313954557463475,-0.5183064937591553,-3.5681300163269043
3,2.6173485016303646,5.5539414013508575,0.07499110698699951,-2.2710559368133545
4,2.53195031084607,5.640211625242712,0.18078511953353882,-2.293867349624634
5,2.541361496476472,3.254110645689693,0.11171728372573853,-0.4188704490661621
6,2.507602164094372,3.4056432055789094,0.19214904308319092,-0.47290802001953125
7,2.430487701441575,2.90576870784313,0.2161063551902771,-0.13697028160095215
8,2.3822253461259493,2.8502207089427323,0.23527109622955322,-0.06897163391113281
9,2.4368293445114313,2.8054613269691084,0.22081434726715088,-0.025722384452819824
10,2.372215375628703,2.647524404685234,0.2491774559020996,0.09512609243392944
11,2.3365477696934738,2.475473370440429,0.2884383201599121,0.22884303331375122
12,2.335143659182729,2.4308283010055387,0.2606545090675354,0.28150469064712524
13,2.377663501742697,2.631278515659447,0.26938432455062866,0.11316525936126709
14,2.37595716273565,2.4541328766672907,0.24755197763442993,0.2648494839668274
15,2.308419589820619,2.5449799446756622,0.28841960430145264,0.18798989057540894
16,2.3421966726057093,2.6872686725795067,0.28583353757858276,0.07443463802337646
17,2.283501198942737,2.6454975389716617,0.2818349003791809,0.10055601596832275
18,2.3853444046710606,2.518593843964031,0.27179932594299316,0.24104827642440796
19,2.3331437757865867,2.481360043171656,0.2697145938873291,0.25304168462753296
20,2.3451102418915513,2.428307152910775,0.2371082901954651,0.31835371255874634
21,2.320085325832143,2.580861893784641,0.2758790850639343,0.167022705078125
22,2.3230956449380873,2.5031384217699237,0.2732095718383789,0.2502936124801636
23,2.295366019060464,2.5513819603616974,0.3009680509567261,0.19595777988433838
24,2.2943587598688837,2.475652957839711,0.27852123975753784,0.26640599966049194
25,2.320338418935012,2.4674127755755166,0.2767452001571655,0.2914518713951111
26,2.3483284558083746,2.52364572633469,0.27051955461502075,0.2277001142501831
27,2.301135982101287,2.6314768161263355,0.3008553385734558,0.14102864265441895
28,2.283318726461337,2.6699819022596483,0.2669314742088318,0.10135573148727417
29,2.2537586081966485,2.7104158050639175,0.32581520080566406,0.054792046546936035
30,2.2171532097373974,2.563455930920349,0.338179349899292,0.19918912649154663
31,2.2316171096597284,2.721439736343945,0.33033740520477295,0.06316858530044556
32,2.24309139395479,2.529940879464548,0.31825345754623413,0.22085356712341309
33,2.242865078812668,2.5377219640291653,0.3195677399635315,0.2687646150588989
34,2.2137479650315326,2.4832251390884554,0.34206056594848633,0.2618224620819092
35,2.2487661878467606,2.4976769665810576,0.3120511770248413,0.24983268976211548
36,2.241084003767975,2.4919571493780333,0.3217466473579407,0.2740315794944763
37,2.178555013346712,2.477807233963523,0.34204739332199097,0.27432578802108765
38,2.167218156795406,2.5944300152386313,0.3634907007217407,0.17615509033203125
39,2.2599037640058817,2.5101962249015886,0.30077290534973145,0.24196094274520874
40,2.1427900599474885,2.5043725449105967,0.37079405784606934,0.24596655368804932
41,2.1486993788474766,2.561743934018955,0.3637465238571167,0.19607478380203247
42,2.2036980061075795,2.4832702336901407,0.3325929641723633,0.26717257499694824
43,2.1039994697474955,2.497340239808711,0.3735198974609375,0.25606340169906616
44,2.14271590178536,2.513898421290726,0.36865901947021484,0.24666887521743774
45,2.142291011522763,2.502308326421374,0.36464792490005493,0.2490742802619934
46,2.1520231812443567,2.4939546943906956,0.36504167318344116,0.24907618761062622
47,2.1739950699223147,2.538008917932925,0.34408771991729736,0.21348440647125244
48,2.1696973685643184,2.4989152975305666,0.3631216883659363,0.25237977504730225
49,2.1654022646509423,2.475008001295619,0.3582758903503418,0.27673202753067017
50,2.113437415766756,2.4798489262826466,0.39147472381591797,0.26988714933395386
51,2.1239842453993347,2.4889099964728723,0.3630012273788452,0.26365548372268677
52,2.1400022794253863,2.4846794916235884,0.3761953115463257,0.2660644054412842
53,2.1236929889500042,2.4883088961891504,0.37801969051361084,0.2541648745536804
54,2.1300651372177914,2.4811205776240115,0.37821489572525024,0.26043325662612915
55,2.118810429245583,2.4740881505219834,0.38080596923828125,0.2634998559951782
56,2.148056685225648,2.469848160759661,0.37151044607162476,0.2672487497329712
57,2.1462537092180107,2.490564416483493,0.3660619854927063,0.25903791189193726
58,2.088731561274185,2.4634824149983383,0.3745949864387512,0.27689146995544434
59,2.166155999229981,2.492683519886489,0.35001981258392334,0.2552260160446167
60,2.1005610692840526,2.4678826993923124,0.37972354888916016,0.27128368616104126
61,2.1164988648751675,2.482939979304438,0.37422674894332886,0.25755810737609863
62,2.0750529817999706,2.477974611779918,0.39658069610595703,0.25758808851242065
63,2.127622776494753,2.461025883920217,0.3809947371482849,0.2703608274459839
64,2.0934875790198246,2.468532963341295,0.38391757011413574,0.2683500647544861
65,2.0942617548969724,2.469801374103712,0.391427218914032,0.2680119276046753
66,2.1195573962513525,2.4674765186564978,0.3612375855445862,0.2689608335494995
67,2.0654340978443524,2.472942642543627,0.39661705493927,0.26455920934677124
68,2.0509763171325375,2.470762623592364,0.41202259063720703,0.2676568031311035
69,2.1208562535456874,2.471792247383092,0.3749508857727051,0.2645135521888733
70,2.12576635239312,2.472278050355688,0.37729334831237793,0.2656169533729553
71,2.1197824931424267,2.4648037985415763,0.36547696590423584,0.27183717489242554
72,2.1743938469607227,2.4643867956754755,0.3709409832954407,0.2764204740524292
73,2.146815799189173,2.4751399536196605,0.3660821318626404,0.26804596185684204
74,2.057336206212515,2.481523532133836,0.40024441480636597,0.26138538122177124
75,2.0859816286032724,2.4914832609553,0.387424111366272,0.25213032960891724
76,2.0878659608575765,2.487393467721333,0.38853389024734497,0.25452858209609985
77,2.1013694568295374,2.4893962946225168,0.38087207078933716,0.2537962794303894
78,2.111349916538002,2.4845471900442373,0.37732386589050293,0.25884515047073364
79,2.0955384692155334,2.484196193242153,0.3877118229866028,0.26044654846191406
80,2.1076963167494065,2.4781639217134304,0.3897653818130493,0.2664386034011841
81,2.09216102763037,2.4785623255382014,0.38973838090896606,0.2640732526779175
82,2.075764806626031,2.4775244559731373,0.3907947540283203,0.2660330533981323
83,2.0582861684674594,2.4769520432654035,0.40706223249435425,0.26520007848739624
84,2.1537533397450916,2.477640620043445,0.35777217149734497,0.26582908630371094
85,2.058703119031948,2.4813030683077297,0.4209495782852173,0.2627662420272827
86,2.0581730470385784,2.481437671942057,0.39436769485473633,0.2629566192626953
87,2.0721581796904904,2.4804100926504487,0.39574068784713745,0.26358628273010254
88,2.063978699184143,2.4801683840544326,0.41261518001556396,0.2649638056755066
89,2.0742389367054055,2.481866693815659,0.3877004384994507,0.2649945020675659
90,2.1088679975001656,2.483193938150055,0.3787890672683716,0.26422011852264404
91,2.0720363178444865,2.4803355928248787,0.4112570285797119,0.265941321849823
92,2.0767674322304015,2.479144310871494,0.4033036231994629,0.2662195563316345
93,2.1160520972119303,2.479535202517557,0.38520878553390503,0.2658728361129761
94,2.0881615459819134,2.481770270644223,0.390704870223999,0.2630048990249634
95,2.0882896600256813,2.479440674733956,0.39525991678237915,0.26630544662475586
96,2.108254195058366,2.479456800282201,0.3854297995567322,0.26697486639022827
97,2.0547798997792768,2.4820148378710285,0.4049535393714905,0.2620949149131775
98,2.0807967177986897,2.4818767081933677,0.4002217650413513,0.26258790493011475
99,2.1117440468102844,2.481724548499321,0.38847488164901733,0.2629207372665405
100,2.110505839288734,2.4851474004445664,0.38274145126342773,0.25950247049331665
101,2.0549436817616473,2.4820380139111675,0.4081384539604187,0.2620704174041748
102,2.1311723159585565,2.481702453715347,0.36128097772598267,0.2630345821380615
103,2.1012541516941394,2.4806451008072665,0.3921199440956116,0.26386797428131104
104,2.1256422177830734,2.480699835014981,0.38472801446914673,0.26399219036102295
105,2.0553439466198484,2.479285946657825,0.4108878970146179,0.26527440547943115
106,2.0678763505402125,2.4792902342053162,0.40169161558151245,0.2654234766960144
107,2.1045795515354353,2.479633653442995,0.3749505281448364,0.26543939113616943
108,2.0805514837229873,2.4801984838020044,0.39303457736968994,0.26635366678237915
109,2.1178002780805683,2.4807247142727955,0.3675549626350403,0.2653515934944153
110,2.0807475774132427,2.4822448511984834,0.3938276767730713,0.2645408511161804
111,2.083919970434115,2.480627457832413,0.3807116150856018,0.26531749963760376
112,2.0743908574633063,2.481366537087737,0.4002649784088135,0.2649042010307312
113,2.0966672697658315,2.482724595628056,0.399914026260376,0.26319068670272827
114,2.1089731151334803,2.481626853496335,0.37686681747436523,0.2644622325897217
115,2.049359554821123,2.480640801298977,0.4146330952644348,0.26565122604370117
116,2.0933703242035167,2.483318467602682,0.39252108335494995,0.2632251977920532
117,2.097119406839112,2.482146308573592,0.3903716802597046,0.263408899307251
118,2.046377869307296,2.4851712231651995,0.41167235374450684,0.26214706897735596
119,2.1241871463992887,2.487838997091338,0.37238025665283203,0.25914835929870605
120,2.056470956434956,2.4873081641053676,0.4021746516227722,0.2594146132469177
121,2.0671322737107523,2.4841848352681035,0.3978617191314697,0.26163434982299805
122,2.0542092131609895,2.481115955971555,0.4105638861656189,0.26397162675857544
123,2.0953735837984326,2.484747414604876,0.39238035678863525,0.2611672878265381
124,2.1051490899905487,2.484420916707221,0.3794167637825012,0.2613600492477417
125,2.0678987331326484,2.4854026821544735,0.4058188796043396,0.26088154315948486
126,2.1212597821825114,2.4851771700741057,0.3632206320762634,0.26096808910369873
127,2.0036667479542234,2.4819019127848954,0.42771822214126587,0.26349925994873047
128,2.1429845763610635,2.483636283555557,0.3731737732887268,0.26182734966278076
129,2.121632623512741,2.485105309598023,0.3827632665634155,0.26115548610687256
130,2.0212438463965055,2.4835662841796875,0.4279854893684387,0.2628498673439026
131,2.1094876224271815,2.4825980902515528,0.3796982169151306,0.26354241371154785
132,2.1008488245345838,2.4814814149735365,0.3829164505004883,0.2647106647491455
133,2.098456640738738,2.481629202597117,0.39560461044311523,0.26443320512771606
134,2.074827174245812,2.4835068461887015,0.4027521014213562,0.2626035213470459
135,2.052989889628923,2.484317634416663,0.412853479385376,0.26159024238586426
136,2.103338912104442,2.483593784447099,0.3916552662849426,0.26231563091278076
137,2.1197561852296993,2.482120303405966,0.37372374534606934,0.2633326053619385
138,2.0816162241563525,2.4797153927410727,0.40285444259643555,0.26626211404800415
139,2.0759056880446134,2.4813835030814078,0.3989880681037903,0.26553064584732056
140,2.071376653572223,2.4817205432266696,0.393984317779541,0.26468366384506226
141,2.127986752607515,2.4835994442968463,0.3624138832092285,0.2623552680015564
142,2.0719008214110306,2.4825382543646772,0.39705437421798706,0.26309216022491455
143,2.0873462818375783,2.4849826827097097,0.3920724391937256,0.26153069734573364
144,2.0772970613323065,2.482718017986387,0.3927890658378601,0.2637970447540283
145,2.09527964088785,2.4821017841032913,0.3807762861251831,0.2642901539802551
146,2.0750628939425724,2.480941664813753,0.3956865072250366,0.26516973972320557
147,2.0784907672473136,2.4804980754852295,0.3937116265296936,0.26569896936416626
148,2.0929909063943066,2.4827994813887173,0.39431941509246826,0.2637321949005127
149,2.1377135273599546,2.482642121936964,0.38050276041030884,0.26419585943222046
150,2.103354352203446,2.4809044794892787,0.37931644916534424,0.2664165496826172
151,2.071518048369505,2.481297740968175,0.40167492628097534,0.2655835747718811
152,2.0387566684678173,2.4819025506941372,0.41285520792007446,0.2649354338645935
153,2.137541030918933,2.481943189499769,0.36888349056243896,0.26395660638809204
154,2.0534546411217156,2.48195815724274,0.414467990398407,0.2643245458602905
155,2.0951847225377707,2.481073688105197,0.37849336862564087,0.26577240228652954
156,2.107460912747599,2.482134598154687,0.38061195611953735,0.26411569118499756
157,2.1278004818026544,2.4818443063908195,0.3751909136772156,0.26462769508361816
158,2.0903466642402124,2.481962416881702,0.38790208101272583,0.26407384872436523
159,2.063221790882411,2.481624244447536,0.4056335687637329,0.2643035650253296
160,2.09006517017307,2.4848056333918236,0.3941640853881836,0.2618364691734314
161,2.1055306954998865,2.481656725988739,0.3817390203475952,0.2644611597061157
162,2.0637135673407934,2.4809807662581123,0.40460336208343506,0.2656765580177307
163,2.0718207978323675,2.481858967139968,0.4046642780303955,0.2648243308067322
164,2.0616082274534393,2.4825676635754945,0.4039722681045532,0.26403820514678955
165,2.058097806208497,2.4828132570387926,0.4095349907875061,0.2635975480079651
166,2.0878265283415267,2.4841844262088024,0.4073469042778015,0.2618896961212158
167,2.0928283017284706,2.4821478275949738,0.38952934741973877,0.2637925148010254
168,2.084274803573762,2.480511552115348,0.395097553730011,0.2654123902320862
169,2.1013512391740554,2.480793280745031,0.3773135542869568,0.2647467255592346
170,2.1266613953077615,2.4804756896551634,0.376196026802063,0.2657291293144226
171,2.081905578249064,2.4831355590884105,0.3948841094970703,0.26332491636276245
172,2.0999389179986925,2.481389599101599,0.38026976585388184,0.26556849479675293
173,2.0859377320288015,2.480215767155523,0.3992392420768738,0.26633602380752563
174,2.1136006981483857,2.4819164100698003,0.38076579570770264,0.26479363441467285
175,2.0858504860045723,2.481214146948977,0.39641571044921875,0.26508957147598267
176,2.0886892599476443,2.4802140296502255,0.39080363512039185,0.2658610939979553
177,2.0999287915988583,2.481010094135501,0.3906072974205017,0.2653019428253174
178,2.1125051356240534,2.4820329106372334,0.37524598836898804,0.26433026790618896
179,2.0748944989400893,2.4825449005815896,0.3986581563949585,0.26365405321121216
180,2.083286179569698,2.481458067495289,0.39710068702697754,0.26466256380081177
181,2.0841150417599446,2.481580711926106,0.3959609270095825,0.2643808126449585
182,2.064015821396206,2.4808382278302044,0.4011819362640381,0.26474547386169434
