epoch,train_loss,val_loss,train_r2,val_r2,current_lr
1,9.921881968052544,10.607553159911497,-7.895999908447266,-7.818572998046875,0.0001
2,8.315487262591645,9.747550017060245,-5.575946807861328,-6.602164268493652,0.0001
3,6.572298496412472,8.505363523362073,-3.544605255126953,-5.026542663574219,0.0001
4,4.950740927627538,7.152945422807266,-1.9604766368865967,-3.5535693168640137,0.0001
5,3.7207573502507043,5.800565194924141,-0.876236081123352,-2.3298590183258057,0.0001
6,2.9302959529998116,4.506707631624662,-0.20717239379882812,-1.3423259258270264,0.0001
7,2.711666819238583,3.8431271988412607,0.033177196979522705,-0.8545165061950684,0.0001
8,2.5857297255964933,4.647502195874983,0.13347339630126953,-1.3976104259490967,0.0001
9,2.4939338026733653,3.1638009245180365,0.16630452871322632,-0.3261960744857788,0.0001
10,2.428364992940446,3.631305492043894,0.189197838306427,-0.7251455783843994,0.0001
11,2.4072242226432916,2.9756929053112016,0.2183588147163391,0.031506478786468506,0.0001
12,2.3722587063084895,2.901678698517407,0.2349514365196228,-0.059525489807128906,0.0001
13,2.3118172889977844,3.4826935302453697,0.26831382513046265,-0.626541018486023,0.0001
14,2.260932204711377,3.553298053932828,0.29814964532852173,-0.7267335653305054,0.0001
15,2.2385340799239013,4.390602844614648,0.30650222301483154,-1.4113998413085938,0.0001
16,2.215415871522734,4.467319235753854,0.30507415533065796,-1.440976619720459,0.0001
17,2.1610666489481325,4.129795953980258,0.3356747627258301,-1.169633150100708,0.0001
18,2.133292376695566,3.0084923071207412,0.36536115407943726,-0.3130202293395996,0.0001
19,2.153037592394268,4.375896061543238,0.35598331689834595,-0.7690753936767578,0.0001
20,2.1460240913595587,2.7640964043977667,0.3595319390296936,0.12798476219177246,0.0001
21,2.1023244889736974,2.703956307376109,0.37734371423721313,0.04085415601730347,0.0001
22,2.1108018796847294,2.7895017443692005,0.379785418510437,-0.14370882511138916,0.0001
23,2.108882345745911,3.0666722182844794,0.37897056341171265,-0.3293938636779785,0.0001
24,2.063144400690868,2.607603165616957,0.39377862215042114,0.1397581696510315,0.0001
25,2.0255927240828573,2.6488608556447617,0.40898752212524414,-0.005431413650512695,0.0001
26,2.041037518774445,2.6374156554805794,0.40427643060684204,0.04673886299133301,0.0001
27,2.020251671473185,4.707291840709572,0.42607855796813965,-1.4030163288116455,0.0001
28,1.9899819039020505,4.842266964673199,0.4200534224510193,-1.5762059688568115,0.0001
29,2.006301698572871,3.0970992364213616,0.4267708659172058,-0.2476954460144043,0.0001
30,2.005507066621253,3.0448506803416886,0.431873083114624,-0.24333274364471436,0.0001
31,2.004780411121234,2.969075234837357,0.4271714687347412,-0.16678333282470703,0.0001
32,1.929946349094461,3.016297905740132,0.46938276290893555,-0.26674604415893555,0.0001
33,1.9351079104533746,2.555344151015266,0.45246434211730957,0.142320454120636,0.0001
34,1.9554231693996258,2.750522871081247,0.4450305104255676,0.09294205904006958,0.0001
35,1.9671622504740705,6.339239756797867,0.44666576385498047,-2.5604100227355957,0.0001
36,1.9073978616564318,3.512153226795005,0.48244303464889526,-0.21679162979125977,0.0001
37,1.928496805866759,3.494122519540946,0.46421825885772705,-0.5155326128005981,0.0001
38,1.9159845652891763,3.415630619661465,0.48197001218795776,-0.5342631340026855,0.0001
39,1.8879069549154797,3.1095168319434228,0.4789646863937378,-0.2934250831604004,0.0001
40,1.873367468915393,3.3106569773377386,0.4999801516532898,-0.4745980501174927,0.0001
41,1.8990240085065064,2.670955277605599,0.49056684970855713,0.06938791275024414,0.0001
42,1.86390218223559,2.9516980337060015,0.49756842851638794,-0.14178836345672607,0.0001
43,1.8797324222935305,3.0245857637462805,0.48791950941085815,-0.27265501022338867,0.0001
44,1.8509361604150616,2.781118766121242,0.5171431303024292,0.10114741325378418,0.0001
45,1.8264247570405254,3.079353600441413,0.5213910937309265,-0.2736750841140747,5e-05
46,1.809154380306327,3.1947615553304103,0.5254918336868286,-0.33454298973083496,5e-05
47,1.850616320493433,3.747541795207505,0.5136183500289917,-0.6464149951934814,5e-05
48,1.8435528272360413,3.802260598211384,0.5111269354820251,-0.7332494258880615,5e-05
49,1.848739130812474,2.972658290512187,0.5048691630363464,-0.14229226112365723,5e-05
50,1.8269796958520783,2.780087839400888,0.5123375654220581,-0.04522812366485596,5e-05
51,1.8233241172292125,2.6840226634290305,0.5229217410087585,0.03283810615539551,5e-05
52,1.8084066443307516,2.8288815204913798,0.5356130599975586,-0.043735384941101074,5e-05
