epoch,train_loss,val_loss,train_recon_loss,val_recon_loss,train_kl_loss,val_kl_loss,train_age_loss,val_age_loss,train_site_loss,val_site_loss,train_age_mae,val_age_mae,train_site_acc,val_site_acc,train_age_r2,val_age_r2,current_beta,current_grl_alpha,current_lr,training_phase
1,71.77588452925434,63.22593236049282,6.9800895514987315e-06,9.449198686917442e-06,101.6883352078385,98.52970146255748,3.562516381792487,3.1342495348939927,2.1016607833667416,2.1630036376391764,3.562516381792487,3.1342495348939927,40.117252931323286,42.14046822742475,-0.5884230136871338,-0.25137007236480713,0.0,0.0,0.0001,
2,62.81630682505954,72.43638929794464,1.1511516089712904e-05,1.432284724946429e-05,97.32118400177565,96.76263636968606,3.1177205592144275,3.594890469292733,1.8466609700440961,2.153177270921178,3.1177205592144275,3.594890469292733,39.53098827470687,38.46153846153847,-0.2406243085861206,-0.24435663223266602,0.0,0.0,0.0001,
3,62.37166375650633,69.28916982185083,1.6095723350712923e-05,1.9668687876593477e-05,96.46190325099619,95.37530683434528,3.098070002081406,3.4433518046120737,1.639767011006673,1.6869697036551792,3.098070002081406,3.4433518046120737,39.44723618090452,39.130434782608695,-0.23137164115905762,-0.13880443572998047,0.0,0.0,0.0001,
4,60.36680274592772,64.95512567475488,2.2343409914378868e-05,2.690570301431376e-05,93.79455666086781,92.14903241415885,2.9978540055516176,3.2272716326059707,1.6370963628967004,1.6366094893037675,2.9978540055516176,3.2272716326059707,38.19095477386934,35.45150501672241,-0.16868853569030762,-0.05031132698059082,0.0,0.0,0.0001,
5,60.19557882593305,64.49464882177652,2.8873641131944185e-05,3.0138214227261044e-05,92.47391958572157,93.99301749647262,2.9905813183616754,3.2042162522025732,1.533495737080598,1.6388795088764816,2.9905813183616754,3.2042162522025732,39.27973199329983,35.785953177257525,-0.13427138328552246,-0.3512685298919678,0.0,0.0,0.0001,
6,59.10034501093317,64.34463874791378,3.2481473580853376e-05,3.5068264930356404e-05,95.73935178057033,97.79224699396752,2.936168203002444,3.200029306188475,1.5053291756104386,1.3733996463858562,2.936168203002444,3.200029306188475,39.698492462311556,35.11705685618729,-0.13271117210388184,-0.07715153694152832,0.0,0.0,0.0001,
7,58.47560910044403,67.63968257840261,3.851033132871374e-05,4.462059920620217e-05,99.56467974485464,101.91641209835193,2.9047544757325445,3.366416293243102,1.5189971544435077,1.2418551285530013,2.9047544757325445,3.366416293243102,35.427135678391956,38.79598662207358,-0.1281421184539795,-0.10243546962738037,0.0,0.0,0.0001,
8,62.29616740241123,74.9103064138355,4.841574424257856e-05,5.228121423888266e-05,102.4763290558628,103.2638061421372,3.0970033321348667,3.7300520102714616,1.420528525683149,1.2328761170141673,3.0970033321348667,3.7300520102714616,38.02345058626466,44.481605351170565,-0.22650742530822754,-0.2867175340652466,0.0,0.0,0.0001,
9,60.513888283989935,64.7452262189476,5.561459729688982e-05,6.339791687660973e-05,104.89086723647125,108.04524703009871,3.008205491693775,3.222011181821791,1.3946678426796866,1.214946206995476,3.008205491693775,3.222011181821791,41.038525963149084,44.481605351170565,-0.1368086338043213,-0.03524649143218994,0.0,0.0,0.0001,
10,61.43876694594596,64.01036011813875,6.662689855915434e-05,7.147207351679443e-05,109.0463515621933,110.20566563941165,3.05445852671037,3.1854093585125978,1.3930569691474315,1.2029857396282082,3.05445852671037,3.1854093585125978,40.28475711892797,43.47826086956522,-0.17325878143310547,-0.3397336006164551,0.0,0.0,0.0001,
11,61.23262976002653,64.62997990228659,7.367865771604734e-05,7.481483890936651e-05,110.30901261270546,110.27342078677786,3.04411814480371,3.2166107857107717,1.3951759490136126,1.185076472751273,3.04411814480371,3.2166107857107717,38.107202680067005,40.13377926421405,-0.18766355514526367,-0.3744943141937256,0.0,0.0,0.0001,
12,59.52605617146197,62.87409235721448,7.70750436033871e-05,8.189099787576373e-05,110.33966190970723,111.69175564564989,2.9590415695005126,3.1290732937114294,1.3747320824132692,1.1639515946940036,2.9590415695005126,3.1290732937114294,40.871021775544385,42.14046822742475,-0.18272340297698975,-0.29543113708496094,0.0,0.0,0.0001,
13,59.27344257987324,60.379227934872425,8.51145117638993e-05,9.285729749024656e-05,113.25576055069864,115.85811370033086,2.9463570904691814,3.0038740579101155,1.378390343944032,1.199564795828982,2.9463570904691814,3.0038740579101155,39.7822445561139,40.468227424749166,-0.15074455738067627,-0.10549461841583252,0.0,0.0,0.0001,
14,58.903223890755044,62.241796704040325,9.890576459943603e-05,0.00010457564137344962,117.14367082809883,118.21339212372949,2.927916782784901,3.0970963132022615,1.371633514487364,1.1911258231038633,2.927916782784901,3.0970963132022615,38.44221105527638,44.14715719063545,-0.10350525379180908,-0.010312080383300781,0.0,0.0,0.0001,
15,39.913825567044206,40.71427502839462,0.00010746457400284021,0.00011155784487713402,118.67954365332523,119.28650683144662,2.9272834360100317,2.9965585681507023,1.3505394239122144,1.2776603343893453,2.9272834360100317,2.9965585681507023,38.60971524288107,44.14715719063545,-0.09438645839691162,-0.09801661968231201,0.0,1.5,0.0001,
16,20.460273352899343,20.873070075759124,0.00011219309816315187,0.00011600357455818176,118.66665273695136,118.07869108066112,2.8807430063659822,2.9860409773313084,1.2694284702265881,1.1818017509071324,2.8807430063659822,2.9860409773313084,40.95477386934673,41.80602006688963,-0.12040650844573975,-0.07288312911987305,0.0,3.0,0.0001,
17,20.050728706858266,20.971193300840447,0.00011951075117041355,0.00012071774324910703,117.32440286505363,115.65765806982749,2.8514661653157654,3.011736406530425,1.1758166232101082,1.1593445316206252,2.8514661653157654,3.011736406530425,40.871021775544385,43.812709030100336,-0.05696392059326172,-0.03207981586456299,0.0,3.5384615384615383,0.0001,
18,20.127109387012784,20.801148826063276,0.00011637681549704763,0.00011433662448964553,113.05942316869995,109.59892880238817,2.870925083431966,2.9888186367060428,1.159692529657578,1.1463800600938574,2.870925083431966,2.9888186367060428,40.787269681742046,38.79598662207358,-0.061157941818237305,-0.060076236724853516,0.0,4.076923076923077,0.0001,
19,19.790079273370843,20.731965450937533,0.00011538432482427214,0.00012285661297487438,109.22738120943258,110.6624730598169,2.823868194017778,2.9810529305384708,1.1378250691159886,1.1372765525926316,2.823868194017778,2.9810529305384708,43.299832495812396,41.1371237458194,-0.07218301296234131,-0.058092474937438965,0.0,4.615384615384616,0.0001,
20,20.168121906580836,20.695431993159165,0.00012748276908321142,0.00013251200841621412,111.24914771867557,111.45640109773464,2.880006201902227,2.9767998134013403,1.1542141301747741,1.1327931982617714,2.880006201902227,2.9767998134013403,39.7822445561139,39.130434782608695,-0.06588470935821533,-0.038794517517089844,0.0,5.153846153846153,0.0001,
21,20.154119229596265,20.770531019638213,0.00013328910216090848,0.00014083302647177517,110.88302029556965,111.37300946800207,2.8773817816371694,2.9807249925607024,1.1548650999564423,1.153345938909014,2.8773817816371694,2.9807249925607024,41.79229480737018,39.130434782608695,-0.10897421836853027,-0.07256340980529785,0.0,5.692307692307692,0.0001,
22,20.191165796276714,20.729120732948534,0.00014543631025340403,0.00015092091164730775,111.8981439536141,111.59927467677905,2.885688810492281,2.9804181606075835,1.1496495948964027,1.1374374707805672,2.885688810492281,2.9804181606075835,40.20100502512563,37.45819397993311,-0.08753180503845215,-0.055867552757263184,0.0,6.230769230769231,0.0001,
23,20.01088228337529,20.76807915805574,0.00014960825857351467,0.00014989826441617887,110.6997202453102,110.17490300207234,2.8573329808124943,2.9830092825618477,1.1455569736522246,1.1468105076946145,2.8573329808124943,2.9830092825618477,42.629815745393635,36.45484949832776,-0.07589566707611084,-0.07881462574005127,0.0,6.769230769230768,0.0001,
24,20.025348858218297,20.80042493303484,0.00015886260663690373,0.00017144985863569825,110.95117141493601,112.34975142462996,2.8591632208033424,2.993475748145062,1.1468769583470457,1.134456324736809,2.8591632208033424,2.993475748145062,41.12227805695142,46.82274247491639,-0.09966838359832764,-0.08875513076782227,0.0,7.307692307692308,0.0001,
