epoch,train_loss,val_loss,train_recon_loss,val_recon_loss,train_kl_loss,val_kl_loss,train_age_loss,val_age_loss,train_site_loss,val_site_loss,train_age_mae,val_age_mae,train_site_acc,val_site_acc,train_age_r2,val_age_r2,current_beta,current_grl_alpha
1,61.38431102426807,65.8558255326389,0.010624703019857407,0.018651485692298533,1.9280266566092845,3.509313477321612,3.2403841210370086,3.5728038314194186,2.5535820620742875,2.4490178077914644,3.2403841210370086,3.5728038314194186,39.86599664991625,38.46153846153847,-0.3663196563720703,-0.6865960359573364,7.686158073360571e-06,0.0
2,59.03132228116494,59.734917554568284,0.04178137357161073,0.11860232017809731,7.189471158550013,17.346079644550848,3.1447342396581193,3.0293023370978824,2.363692247687872,2.835323866394451,3.1447342396581193,3.0293023370978824,43.63484087102177,26.755852842809364,-0.29087769985198975,-0.16026020050048828,9.154408582006738e-06,0.025
3,55.14856608149594,67.27040054168191,0.3814188547469863,0.791615749681275,42.8401021653883,78.24724356865006,3.043905918322616,3.47522190980688,1.821618070354813,2.86991950022337,3.043905918322616,3.47522190980688,43.88609715242881,21.070234113712374,-0.20461416244506836,-0.22367000579833984,1.0941850065037413e-05,0.05
4,53.15516270265308,52.00671231068895,0.6452567213943455,0.273078411618204,70.06650375800716,44.85307776409647,2.874433219532671,2.8805283758552576,1.87849753186531,1.7050243552313202,2.874433219532671,2.8805283758552576,48.57621440536013,53.17725752508361,-0.11303591728210449,-0.0643390417098999,1.3116306549289961e-05,0.075
5,55.68502673431856,56.93057358145315,0.20768320211014357,0.24945675504446826,40.71566456166943,52.174272224655915,2.847445878551234,2.9044709006280804,2.5530028383136796,2.622645964191909,2.847445878551234,2.9044709006280804,45.058626465661646,45.48494983277592,-0.08516943454742432,-0.0035706758499145508,1.5759257661579782e-05,0.1
6,66.50287361081122,77.32586675025149,0.31392126401864506,0.4477934750625521,64.17050147895237,87.21197394941962,2.9215954991441277,2.9963447983847016,4.472760423343984,6.3862496793868155,2.9215954991441277,2.9963447983847016,40.95477386934673,40.13377926421405,-0.14084100723266602,0.032317519187927246,1.896822375212947e-05,0.125
7,77.12207243390618,81.20686421984414,0.4276073557048587,0.3887550005545983,89.50857408482025,88.50444625293132,2.8935120732740343,2.8787262543388037,6.657947420474872,7.527037928335643,2.8935120732740343,2.8787262543388037,40.619765494137354,40.13377926421405,-0.09195840358734131,0.004219353199005127,2.285938966519435e-05,0.15
8,82.1683536446474,77.8734719777187,0.2777020619991836,0.1440458440760705,81.77193747413418,67.97894465723962,2.8507294007881203,3.127474056837152,7.82549126064358,6.163088666156781,2.8507294007881203,3.127474056837152,40.619765494137354,40.13377926421405,-0.05495858192443848,-0.35005509853363037,2.7570396583288997e-05,0.17500000000000002
9,86.24075038788506,86.53104415944587,0.18317569580110074,0.23310724927430168,81.12577860718795,96.50796396517036,2.9002650195430073,2.8724990640595607,8.510179655436096,8.641448327131494,2.9002650195430073,2.8724990640595607,40.619765494137354,40.13377926421405,-0.11517214775085449,0.02258533239364624,3.326316923375208e-05,0.2
10,87.52043070066314,89.37889997297306,0.2203786651443197,0.19256146840227886,95.16625223846691,93.15855295442817,2.8898074914462604,2.943575951566664,8.789824039293094,9.00579165136535,2.8898074914462604,2.943575951566664,40.619765494137354,40.13377926421405,-0.09041488170623779,-0.14717411994934082,4.012655707396759e-05,0.22499999999999998
